,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Take <NUMBER>,9400ZZLUMED3,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53498, 'lng': 0.03387, 'timezone': 'Europe/London'}",-422144343,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'wlqyH}oNxDfjD??hY`qB', 'travelled': False}, {'encodedWaypoints': 'slpyHsrEtWljB??lOjfA??vWlkB??qMlpA??xHts@', 'travelled': True}, {'encodedWaypoints': 'oonyHvpEnU|rA??vMnvA??bWl~@??qIzeA??wFbl@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUUPK2,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.5252, 'lng': -0.03356, 'timezone': 'Europe/London'}",261.0,scheduled,in summary,13,Upton Park,Theydon Bois
1,<TIME>: Wait ,,,-494842615,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52519, 'lng': -0.03364, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,13,Upton Park,Theydon Bois
2,<TIME>: Take <NUMBER>,9400ZZLUTHB1,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52519, 'lng': -0.03364, 'timezone': 'Europe/London'}",1342901899,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'icmyH`}TrPgrA??jKe~@??w[_h@??_w@gkD??tIacC', 'travelled': False}, {'encodedWaypoints': 'konyHhqEkeB{zD??a~AdI??ifAyqA??elA{qA??adAuc@??o_Bkg@??oxBmqA??mzAeu@??sWqqD??icDmxB', 'travelled': True}, {'encodedWaypoints': 'w`kzHweSuhCi~@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUMED2,,"{'address': 'Theydon Bois', 'class': 'Location', 'lat': 51.67133, 'lng': 0.10349, 'timezone': 'Europe/London'}",44.0,scheduled,in summary,13,Upton Park,Theydon Bois
3,<TIME>: Walk,,"{'address': 'Theydon Bois', 'class': 'Location', 'lat': 51.67133, 'lng': 0.10349, 'timezone': 'Europe/London'}",607882263,,194.0,"{'description': '(51.67171,0.10313)', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'w`kzHweSPi@\\`BKG?JB@ANF@Il@@?EECRKEALaAYe@YAM@EJC', 'metres': 194}]","{'class': 'Location', 'lat': 51.67171, 'lng': 0.10313, 'timezone': 'Europe/London'}",317.0,unscheduled,in summary,13,Upton Park,Theydon Bois
4,<TIME>: Take <NUMBER>,9400ZZLUMED3,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53498, 'lng': 0.03387, 'timezone': 'Europe/London'}",-422207769,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'cuqyHmo[|FbvB??lKdhD??qGfyB??jAdoD??hY`qB', 'travelled': False}, {'encodedWaypoints': 'slpyHsrEtWljB??lOjfA??vWlkB??qMlpA??xHts@', 'travelled': True}, {'encodedWaypoints': 'oonyHvpEnU|rA??vMnvA??bWl~@??~c@ne@??{Edw@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUUPK2,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.5252, 'lng': -0.03356, 'timezone': 'Europe/London'}",261.0,scheduled,in summary,13,Upton Park,Theydon Bois
5,<TIME>: Take <NUMBER>,9400ZZLUMED3,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53498, 'lng': 0.03387, 'timezone': 'Europe/London'}",-422271195,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'cuqyHmo[|FbvB??lKdhD??qGfyB??jAdoD??hY`qB', 'travelled': False}, {'encodedWaypoints': 'slpyHsrEtWljB??lOjfA??vWlkB??qMlpA??xHts@', 'travelled': True}, {'encodedWaypoints': 'oonyHvpEnU|rA??vMnvA??bWl~@??~c@ne@??{Edw@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUUPK2,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.5252, 'lng': -0.03356, 'timezone': 'Europe/London'}",261.0,scheduled,in summary,13,Upton Park,Theydon Bois
6,<TIME>: Take <NUMBER>,9400ZZLUMED3,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53498, 'lng': 0.03387, 'timezone': 'Europe/London'}",-421221783,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'cuqyHmo[|FbvB??lKdhD??qGfyB??jAdoD??hY`qB', 'travelled': False}, {'encodedWaypoints': 'slpyHsrEtWljB??lOjfA??vWlkB??qMlpA??xHts@', 'travelled': True}, {'encodedWaypoints': 'oonyHvpEnU|rA??vMnvA??bWl~@??~c@ne@??{Edw@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUUPK2,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.5252, 'lng': -0.03356, 'timezone': 'Europe/London'}",261.0,scheduled,in summary,13,Upton Park,Theydon Bois
