,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Station Lane', 'class': 'Location', 'lat': 51.55401, 'lng': 0.21902, 'timezone': 'Europe/London'}",1513248456,,247.0,"{'description': 'Hornchurch', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'octyHywi@Pe@d@P|@X??jAd@??Ef@?H?B?DBNDZk@^??w@Ag@EG_@', 'metres': 245}]","{'address': 'Hornchurch', 'class': 'Location', 'lat': 51.55376, 'lng': 0.21832, 'timezone': 'Europe/London'}",250.0,unscheduled,in summary,15,Hornchurch,Ladbroke Grove
1,<TIME>: Take <NUMBER>,9400ZZLUWHM1,"{'address': 'Hornchurch', 'class': 'Location', 'lat': 51.55376, 'lng': 0.21832, 'timezone': 'Europe/London'}",2134389935,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'kbuyHeap@hDffB??bZneB', 'travelled': False}, {'encodedWaypoints': '}atyHmsi@vYpaC??ha@rgE??vNxwB??|FbvB??lKdhD??qGfyB??jAdoD??hY`qB??tWljB??lOjfA', 'travelled': True}, {'encodedWaypoints': 'ocoyHy_@vWlkB??qMlpA??xHts@??nU|rA??vMnvA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHCH2,,"{'address': 'West Ham', 'class': 'Location', 'lat': 51.5284, 'lng': 0.00525, 'timezone': 'Europe/London'}",263.0,scheduled,in summary,15,Hornchurch,Ladbroke Grove
2,<TIME>: Wait ,,,-494799804,"{'address': 'West Ham', 'class': 'Location', 'lat': 51.5284, 'lng': 0.00525, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,15,Hornchurch,Ladbroke Grove
3,<TIME>: Take <NUMBER>,9400ZZLULAD2,"{'address': 'West Ham', 'class': 'Location', 'lat': 51.5284, 'lng': 0.00525, 'timezone': 'Europe/London'}",1596372043,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'wlqyH}oNxDfjD??hY`qB??tWljB??lOjfA', 'travelled': False}, {'encodedWaypoints': 'ocoyHy_@vWlkB??qMlpA??xHts@??nU|rA??vMnvA??bWl~@??qIzeA??wFbl@??iJnt@??eA`k@??{x@~tB??bYjfA??~Jjr@??lH|pA??|M|bA??rItcA??oDf{@??yJfrA??lU~w@', 'travelled': True}, {'encodedWaypoints': 'q}lyH~dh@lWxk@??xVbg@??|U|K??lYnA??zo@gI', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUWHM1,,"{'address': 'Ladbroke Grove', 'class': 'Location', 'lat': 51.51722, 'lng': -0.21087, 'timezone': 'Europe/London'}",267.0,scheduled,in summary,15,Hornchurch,Ladbroke Grove
