,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': ""Gray's Inn Road & High Holborn"", 'class': 'Location', 'lat': 51.51812, 'lng': -0.11168, 'timezone': 'Europe/London'}",888607808,,80.0,"{'description': 'Chancery Lane', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'gcmyH~xTKY????Cf@G|A?@?ATT@Q', 'metres': 80}]","{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51812, 'lng': -0.11224, 'timezone': 'Europe/London'}",271.0,unscheduled,in summary,18,Chancery Lane,Tottenham Hale
1,<TIME>: Take <NUMBER>,9400ZZLUOXC5,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51812, 'lng': -0.11224, 'timezone': 'Europe/London'}",1649116713,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'gonyHzqEyInbC??fw@rkD??d\\|f@??uKf_A??}PhqA', 'travelled': False}, {'encodedWaypoints': 'gcmyHn|TbCbm@??rGljA??lD`|@', 'travelled': True}, {'encodedWaypoints': 'aqlyHbsZ|Ddr@??dD|q@??jJxiB??bHhmA??rGzz@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUCHL2,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51522, 'lng': -0.14146, 'timezone': 'Europe/London'}",264.0,scheduled,in summary,18,Chancery Lane,Tottenham Hale
2,<TIME>: Walk,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51522, 'lng': -0.14146, 'timezone': 'Europe/London'}",-1956434399,,122.0,"{'description': 'Oxford Circus', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'aqlyHbsZDBEa@OBe@xA?lA[H@PD^', 'metres': 122}]","{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51559, 'lng': -0.14247, 'timezone': 'Europe/London'}",290.0,unscheduled,in summary,18,Chancery Lane,Tottenham Hale
3,<TIME>: Wait ,,,-494968630,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51559, 'lng': -0.14247, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,18,Chancery Lane,Tottenham Hale
4,<TIME>: Take <NUMBER>,9400ZZLUTMH1,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51559, 'lng': -0.14247, 'timezone': 'Europe/London'}",355021063,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'oadyHt_WgxAxI??yQpz@??ip@|y@??_z@sF??ox@@', 'travelled': False}, {'encodedWaypoints': 'kslyHlyZas@iU??}Wyg@??yMs|@??ceBavB??kmBfP??ooB}gE??wc@klA', 'travelled': True}, {'encodedWaypoints': '}xzyHp`KbHs}B??vV{fC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOXC2,,"{'address': 'Tottenham Hale', 'class': 'Location', 'lat': 51.58816, 'lng': -0.06169, 'timezone': 'Europe/London'}",49.0,scheduled,in summary,18,Chancery Lane,Tottenham Hale
5,<TIME>: Walk,,"{'address': 'Tottenham Hale', 'class': 'Location', 'lat': 51.58816, 'lng': -0.06169, 'timezone': 'Europe/London'}",-585809568,,112.0,"{'description': '(51.58805,-0.06028)', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': '}xzyHp`KKG?ALGJ]@???@a@DK?aA@i@@w@EU', 'metres': 111}]","{'class': 'Location', 'lat': 51.58805, 'lng': -0.06028, 'timezone': 'Europe/London'}",94.0,unscheduled,in summary,18,Chancery Lane,Tottenham Hale
6,<TIME>: Take <NUMBER>,9400ZZLUOXC5,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51812, 'lng': -0.11224, 'timezone': 'Europe/London'}",1649076351,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'gonyHzqEyInbC??fw@rkD??d\\|f@??uKf_A??}PhqA', 'travelled': False}, {'encodedWaypoints': 'gcmyHn|TbCbm@??rGljA??lD`|@', 'travelled': True}, {'encodedWaypoints': 'aqlyHbsZ|Ddr@??dD|q@??jJxiB??bHhmA??rGzz@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUCHL2,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51522, 'lng': -0.14146, 'timezone': 'Europe/London'}",264.0,scheduled,in summary,18,Chancery Lane,Tottenham Hale
7,<TIME>: Take <NUMBER>,9400ZZLUOXC5,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51812, 'lng': -0.11224, 'timezone': 'Europe/London'}",1649312757,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'gonyHzqEyInbC??fw@rkD??d\\|f@??uKf_A??}PhqA', 'travelled': False}, {'encodedWaypoints': 'gcmyHn|TbCbm@??rGljA??lD`|@', 'travelled': True}, {'encodedWaypoints': 'aqlyHbsZ|Ddr@??dD|q@??jJxiB??bHhmA??rGzz@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUCHL2,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51522, 'lng': -0.14146, 'timezone': 'Europe/London'}",264.0,scheduled,in summary,18,Chancery Lane,Tottenham Hale
8,<TIME>: Take <NUMBER>,9400ZZLUOXC5,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51812, 'lng': -0.11224, 'timezone': 'Europe/London'}",1650558213,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'gonyHzqEyInbC??fw@rkD??d\\|f@??uKf_A??}PhqA', 'travelled': False}, {'encodedWaypoints': 'gcmyHn|TbCbm@??rGljA??lD`|@', 'travelled': True}, {'encodedWaypoints': 'aqlyHbsZ|Ddr@??dD|q@??jJxiB??bHhmA??rGzz@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUCHL2,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51522, 'lng': -0.14146, 'timezone': 'Europe/London'}",264.0,scheduled,in summary,18,Chancery Lane,Tottenham Hale
