,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.67171, 'lng': 0.10313, 'timezone': 'Europe/London'}",1202694730,,190.0,"{'description': 'Theydon Bois', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'eckzHocSKBAD@Ld@X`AX@MJDBSDDA?Hm@GA@OCA?KJFQ{ASh@', 'metres': 190}]","{'address': 'Theydon Bois', 'class': 'Location', 'lat': 51.67127, 'lng': 0.10346, 'timezone': 'Europe/London'}",142.0,unscheduled,in summary,12,Theydon Bois,Upton Park
1,<TIME>: Take <NUMBER>,9400ZZLUMED1,"{'address': 'Theydon Bois', 'class': 'Location', 'lat': 51.67127, 'lng': 0.10346, 'timezone': 'Europe/London'}",-1125689259,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'mjozHaeU~hCn~@', 'travelled': False}, {'encodedWaypoints': 'm`kzHqeSlcDlyB??rWbqD??rzArt@??dxBnqA??n_Bdg@??~cA~c@??flAvpA??teAdrA??p~AgI??heBz{D', 'travelled': True}, {'encodedWaypoints': 'gonyHzqEyInbC??fw@rkD??d\\|f@??uKf_A??}PhqA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUTHB2,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52516, 'lng': -0.03373, 'timezone': 'Europe/London'}",223.0,scheduled,in summary,12,Theydon Bois,Upton Park
2,<TIME>: Walk,,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52516, 'lng': -0.03373, 'timezone': 'Europe/London'}",-510827386,,44.0,"{'description': 'Mile End', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'gonyHzqEOeAEBDTDCAA', 'metres': 44}]","{'address': 'Mile End', 'class': 'Location', 'lat': 51.52523, 'lng': -0.03348, 'timezone': 'Europe/London'}",75.0,unscheduled,in details,12,Theydon Bois,Upton Park
3,<TIME>: Wait ,,,-494842584,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52523, 'lng': -0.03348, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,12,Theydon Bois,Upton Park
4,<TIME>: Take <NUMBER>,9400ZZLUUPK1,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52523, 'lng': -0.03348, 'timezone': 'Europe/London'}",363209834,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'atkyHxzOxEix@??ed@qd@??yVi~@??sMkvA??wU}sA', 'travelled': False}, {'encodedWaypoints': 'sonyHhpEwHsr@??tMmpA??yWalB??iOyeA??uWqjB', 'travelled': True}, {'encodedWaypoints': 'olpyHerEgY}pB??oBypD??nHexB??mKqgD??{FwvB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUMED4,,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53496, 'lng': 0.03379, 'timezone': 'Europe/London'}",82.0,scheduled,in summary,12,Theydon Bois,Upton Park
5,<TIME>: Walk,,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53496, 'lng': 0.03379, 'timezone': 'Europe/London'}",-606339994,,171.0,"{'description': 'Green Street', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'olpyHerE\\E??Im@??ScBWcBE_ACYOD??MBHb@', 'metres': 169}]","{'address': 'Green Street', 'class': 'Location', 'lat': 51.53523, 'lng': 0.03527, 'timezone': 'Europe/London'}",80.0,unscheduled,in summary,12,Theydon Bois,Upton Park
6,<TIME>: Take <NUMBER>,9400ZZLUUPK1,"{'address': 'Mile End', 'class': 'Location', 'lat': 51.52523, 'lng': -0.03348, 'timezone': 'Europe/London'}",363211880,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'atkyHxzOxEix@??ed@qd@??yVi~@??sMkvA??wU}sA', 'travelled': False}, {'encodedWaypoints': 'sonyHhpEwHsr@??tMmpA??yWalB??iOyeA??uWqjB', 'travelled': True}, {'encodedWaypoints': 'olpyHerEgY}pB??oBypD', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUMED4,,"{'address': 'Upton Park', 'class': 'Location', 'lat': 51.53496, 'lng': 0.03379, 'timezone': 'Europe/London'}",82.0,scheduled,in summary,12,Theydon Bois,Upton Park
