,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Take <NUMBER>,9400ZZLULSQ3,"{'address': 'Osterley', 'class': 'Location', 'lat': 51.48133, 'lng': -0.35204, 'timezone': 'Europe/London'}",188629691,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'u_dyHnowAx_@ovD??_k@ukF??`LcyB??{L}}@??qp@_Z', 'travelled': False}, {'encodedWaypoints': 'g}eyHfwcAmwA{hD??}WudA??cHce@??qIckD??`aAg`J??dJmy@??cGk}B??yN_aA??l@q|@??am@{jA??sG_n@??eZuhA??oMcg@??mL{o@', 'travelled': True}, {'encodedWaypoints': 'kykyHf~WgHmS??gWuW??qg@rW??cp@uG??_lBoZ', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOSY1,,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51142, 'lng': -0.12788, 'timezone': 'Europe/London'}",83.0,scheduled,in summary,10,Osterley,Totteridge & Whetstone
1,<TIME>: Walk,,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51142, 'lng': -0.12788, 'timezone': 'Europe/London'}",2088623489,,108.0,"{'description': 'Leicester Square', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'kykyHf~WOF??ZdAN?aB@A?G@@?@?', 'metres': 107}]","{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51181, 'lng': -0.12828, 'timezone': 'Europe/London'}",314.0,unscheduled,in summary,10,Osterley,Totteridge & Whetstone
2,<TIME>: Wait ,,,-495000746,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51181, 'lng': -0.12828, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,10,Osterley,Totteridge & Whetstone
3,<TIME>: Take <NUMBER>,9400ZZLUTAW1,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51181, 'lng': -0.12828, 'timezone': 'Europe/London'}",-1600913102,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'whgyHztSg|Aro@??uWxw@??qHlR??oR`N', 'travelled': False}, {'encodedWaypoints': 'w{kyHx`X}WdM??i\\xX??}UrS??qWkU??ge@lZ??o]fW??odA_I??gg@qN??{o@yT??aqAdcA??kz@rvB??{tAxlD??ss@yY??is@yP??{nA}f@', 'travelled': True}, {'encodedWaypoints': '_aczHl`b@k|Bl|A', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLULSQ1,,"{'address': 'Totteridge & Whetstone', 'class': 'Location', 'lat': 51.63041, 'lng': -0.17942, 'timezone': 'Europe/London'}",337.0,scheduled,in summary,10,Osterley,Totteridge & Whetstone
4,<TIME>: Take <NUMBER>,9400ZZLULSQ3,"{'address': 'Osterley', 'class': 'Location', 'lat': 51.48133, 'lng': -0.35204, 'timezone': 'Europe/London'}",188670053,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'u_dyHnowAx_@ovD??_k@ukF??`LcyB??{L}}@??qp@_Z', 'travelled': False}, {'encodedWaypoints': 'g}eyHfwcAmwA{hD??}WudA??cHce@??qIckD??`aAg`J??dJmy@??cGk}B??yN_aA??l@q|@??am@{jA??sG_n@??eZuhA??oMcg@??mL{o@', 'travelled': True}, {'encodedWaypoints': 'kykyHf~WgHmS??gWuW??qg@rW??cp@uG??_lBoZ', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOSY1,,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51142, 'lng': -0.12788, 'timezone': 'Europe/London'}",83.0,scheduled,in summary,10,Osterley,Totteridge & Whetstone
