,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,turn-by-turn,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Alexandra Avenue', 'class': 'Location', 'lat': 51.57498, 'lng': -0.37101, 'timezone': 'Europe/London'}",1852482259,,123.0,"{'description': 'Rayners Lane Station', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'qfxyHxmgANg@a@KGEECC?CAC?C?A?A@ABCDC@EDGDEDGDG@a@J??Bv@', 'metres': 123}]","{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57561, 'lng': -0.37123, 'timezone': 'Europe/London'}",341.0,,unscheduled,in summary,16,Rayners Lane,Edgware
1,<TIME>: Take <NUMBER>,490013274EB,"{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57561, 'lng': -0.37123, 'timezone': 'Europe/London'}",-1935576543,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON SOVEREIGN LIMITED,LONDON SOVEREIGN LIMITED,"[{'encodedWaypoints': '_evyH`_dA_Abj@??}T~T??_OdI??{Llh@??wNsC', 'travelled': False}, {'encodedWaypoints': 'qjxyHdogAgGhC??Sxi@??iKpU??wLmB??gLhC??iMO??kFg@??aKrA??oHmI??mKdG??oM~G??eFbO??}Lxb@??eL}A??kJcR??}Lsa@??qE}O??gMu^??_Gu[??{@af@??nBoQ??tQ}O??tIcJ??SeR??F_L??mA_j@??gBo[??}Ff@??cSgC??yJqI??yCkU??wIuT??uCc\\??mF_[??aGuW??Q_\\??qC}W', 'travelled': True}, {'encodedWaypoints': 'eq`zHrl{@cKse@', 'travelled': False}]",[{'provider': 'LONDON SOVEREIGN LIMITED'}],490000189A,,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61763, 'lng': -0.30938, 'timezone': 'Europe/London'}",56.0,,scheduled,in summary,16,Rayners Lane,Edgware
2,<TIME>: Wait ,,,-494040149,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61763, 'lng': -0.30938, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,16,Rayners Lane,Edgware
3,<TIME>: Take <NUMBER>,490000070G,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61763, 'lng': -0.30938, 'timezone': 'Europe/London'}",1652185709,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON SOVEREIGN LIMITED,LONDON SOVEREIGN LIMITED,"[{'encodedWaypoints': 'q}bzH~}_AfK}d@??dTm`@??bX}_@??|FuL??zHkZ', 'travelled': False}, {'encodedWaypoints': 'eq`zHrl{@iLaa@??oDea@??}BcV??`BgQ??xHwJ??pQiS??bM}S??jJkL??SsU??cEuJ', 'travelled': True}, {'encodedWaypoints': 'wu_zHhzt@xAoD??lD~P??zJ`E??jNaQ??zNoN', 'travelled': False}]",[{'provider': 'LONDON SOVEREIGN LIMITED'}],490013274EB,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",97.0,,scheduled,in summary,16,Rayners Lane,Edgware
4,<TIME>: Walk,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",926017550,,244.0,"{'description': 'Edgware', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'wu_zHhzt@[K?A]bAK^MeB?@?AEHCF?PALE@KIBQZe@JMT^HW@@L[Ge@m@q@', 'metres': 244}]","{'address': 'Edgware', 'class': 'Location', 'lat': 51.61362, 'lng': -0.27498, 'timezone': 'Europe/London'}",64.0,,unscheduled,in summary,16,Rayners Lane,Edgware
5,<TIME>: Take <NUMBER>,490000070G,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61763, 'lng': -0.30938, 'timezone': 'Europe/London'}",-1013954637,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",ARRIVA LONDON NORTH LIM,ARRIVA LONDON NORTH LIM,"[{'encodedWaypoints': '{w_zHjt_AuCc\\??mF_[??aGuW??Q_\\??qC}W', 'travelled': False}, {'encodedWaypoints': 'eq`zHrl{@`V{T??lKcG??|\\aZ??m@ob@??cBub@??{Hye@??uHcV??{LcS', 'travelled': True}]",[{'provider': 'ARRIVA LONDON NORTH LIM'}],490013274EB,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",97.0,,scheduled,in summary,16,Rayners Lane,Edgware
6,<TIME>: Take <NUMBER>,490015250G,"{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57561, 'lng': -0.37123, 'timezone': 'Europe/London'}",1072218625,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON SOVEREIGN LIMITED,LONDON SOVEREIGN LIMITED,"[{'encodedWaypoints': 'qtuyHpsgAoQpT??sZ|L??aJuJ??aLqV??wNsC', 'travelled': False}, {'encodedWaypoints': 'qjxyHdogA_LgN??kYwW??uN}L??_L_K??wNmO??uNsb@??mEsg@??kBe[??Fq`@??sE{A', 'travelled': True}, {'encodedWaypoints': 'g~{yH|o`ArDiQ??~EyW??pE}k@??eE{c@??oAo\\', 'travelled': False}]",[{'provider': 'LONDON SOVEREIGN LIMITED'}],490000189A,,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59413, 'lng': -0.3355, 'timezone': 'Europe/London'}",63.0,,scheduled,in summary,16,Rayners Lane,Edgware
7,<TIME>: Wait ,,,-494274075,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59413, 'lng': -0.3355, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,16,Rayners Lane,Edgware
8,<TIME>: Take <NUMBER>,490000070G,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59413, 'lng': -0.3355, 'timezone': 'Europe/London'}",-1600756985,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': '_jyyHbh`A{DsD??q]iD??gRxB??eOjF??kKpF', 'travelled': False}, {'encodedWaypoints': 'g~{yH|o`AgPqG??sFm^??yF}X??cGsW??qCoQ??qH{Z??eMsU??aCgP??iGqj@??m@ob@??cBub@??{Hye@??uHcV??{LcS', 'travelled': True}, {'encodedWaypoints': 'wu_zHhzt@bCgG??mJvH??ySrI??iQd@??qDkY', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490015250G,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",73.0,,scheduled,in summary,16,Rayners Lane,Edgware
9,<TIME>: Walk,,"{'address': 'Alexandra Avenue', 'class': 'Location', 'lat': 51.57498, 'lng': -0.37101, 'timezone': 'Europe/London'}",-2043933059,,539.0,"{'description': 'Rayners Lane Station', 'instruction': 'Walk', 'mainValue': '550m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 550m,,,,,,"[{'encodedWaypoints': 'qfxyHxmgANg@a@KGEECC?CAC?C?A?A@ABCDC@EDGDEDGDG@a@JWDMDe@Ja@Jc@Fk@HeADU?C@CDCFEEEHCHl@hA|CS`D]dAP', 'metres': 539}]","{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.575, 'lng': -0.37161, 'timezone': 'Europe/London'}",273.0,WALKING,unscheduled,in summary,16,Rayners Lane,Edgware
