,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'South Ealing Road', 'class': 'Location', 'lat': 51.50137, 'lng': -0.30702, 'timezone': 'Europe/London'}",434944120,,80.0,"{'description': 'South Ealing', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'oziyHz}z@JHFCVSDVf@fBAB', 'metres': 80}]","{'address': 'South Ealing', 'class': 'Location', 'lat': 51.50093, 'lng': -0.30761, 'timezone': 'Europe/London'}",233.0,unscheduled,in summary,5,South Ealing,Liverpool Street
1,<TIME>: Take <NUMBER>,9400ZZLUHBN3,"{'address': 'South Ealing', 'class': 'Location', 'lat': 51.50093, 'lng': -0.30761, 'timezone': 'Europe/London'}",-1198236822,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'y}cyHdqfA{L}}@??qp@_Z??mwA{hD??}WudA??cHce@', 'travelled': False}, {'encodedWaypoints': 'wwiyHpa{@qIckD??`aAg`J??dJmy@??cGk}B??yN_aA??l@q|@??am@{jA??sG_n@??eZuhA??oMcg@??mL{o@??gHmS??gWuW', 'travelled': True}, {'encodedWaypoints': '{zlyHbqVqg@rW??cp@uG??_lBoZ??_Y{_@??s`@qb@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSEA1,,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51679, 'lng': -0.12065, 'timezone': 'Europe/London'}",86.0,scheduled,in summary,5,South Ealing,Liverpool Street
2,<TIME>: Walk,,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51679, 'lng': -0.12065, 'timezone': 'Europe/London'}",1654385906,,206.0,"{'description': 'Holborn Station', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': '{zlyHbqVBq@M?CQDA????HEFCE[AKAMID??KDA@@BWLw@m@@IO}A??m@b@??D?FL', 'metres': 206}]","{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51752, 'lng': -0.11964, 'timezone': 'Europe/London'}",54.0,unscheduled,in summary,5,South Ealing,Liverpool Street
3,<TIME>: Wait ,,,-494943272,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51752, 'lng': -0.11964, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,5,South Ealing,Liverpool Street
4,<TIME>: Take <NUMBER>,9400ZZLULVT1,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51752, 'lng': -0.11964, 'timezone': 'Europe/London'}",-831833719,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qzkyH`da@kJyiB??eD}q@??}Dsq@??aEo|@??kGkjA', 'travelled': False}, {'encodedWaypoints': 'o_myHxjVyBwl@??rPgrA??jKe~@??w[_h@', 'travelled': True}, {'encodedWaypoints': 'abmyHraO_w@gkD??tIacC??keB{zD??a~AdI??ifAyqA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHBN1,,"{'address': 'Liverpool Street Station', 'class': 'Location', 'lat': 51.51794, 'lng': -0.08233, 'timezone': 'Europe/London'}",90.0,scheduled,in summary,5,South Ealing,Liverpool Street
5,<TIME>: Walk,,"{'address': 'Liverpool Street Station', 'class': 'Location', 'lat': 51.51794, 'lng': -0.08233, 'timezone': 'Europe/London'}",-1795555607,,108.0,"{'description': 'The Arcade', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'abmyHraOEEEAACjAZA?JXPPDv@RH', 'metres': 108}]","{'address': 'The Arcade', 'class': 'Location', 'lat': 51.51735, 'lng': -0.08297, 'timezone': 'Europe/London'}",227.0,unscheduled,in summary,5,South Ealing,Liverpool Street
6,<TIME>: Take <NUMBER>,9400ZZLULVT1,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51752, 'lng': -0.11964, 'timezone': 'Europe/London'}",-831832417,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qzkyH`da@kJyiB??eD}q@??}Dsq@??aEo|@??kGkjA', 'travelled': False}, {'encodedWaypoints': 'o_myHxjVyBwl@??rPgrA??jKe~@??w[_h@', 'travelled': True}, {'encodedWaypoints': 'abmyHraO_w@gkD??tIacC??keB{zD??a~AdI??ifAyqA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHBN1,,"{'address': 'Liverpool Street Station', 'class': 'Location', 'lat': 51.51794, 'lng': -0.08233, 'timezone': 'Europe/London'}",90.0,scheduled,in summary,5,South Ealing,Liverpool Street
7,<TIME>: Take <NUMBER>,9400ZZLUHBN3,"{'address': 'South Ealing', 'class': 'Location', 'lat': 51.50093, 'lng': -0.30761, 'timezone': 'Europe/London'}",-1198196460,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'y}cyHdqfA{L}}@??qp@_Z??mwA{hD??}WudA??cHce@', 'travelled': False}, {'encodedWaypoints': 'wwiyHpa{@qIckD??`aAg`J??dJmy@??cGk}B??yN_aA??l@q|@??am@{jA??sG_n@??eZuhA??oMcg@??mL{o@??gHmS??gWuW', 'travelled': True}, {'encodedWaypoints': '{zlyHbqVqg@rW??cp@uG??_lBoZ??_Y{_@??s`@qb@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUSEA1,,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51679, 'lng': -0.12065, 'timezone': 'Europe/London'}",86.0,scheduled,in summary,5,South Ealing,Liverpool Street
8,<TIME>: Take <NUMBER>,9400ZZLULVT1,"{'address': 'Holborn Station', 'class': 'Location', 'lat': 51.51752, 'lng': -0.11964, 'timezone': 'Europe/London'}",-831825907,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qzkyH`da@kJyiB??eD}q@??}Dsq@??aEo|@??kGkjA', 'travelled': False}, {'encodedWaypoints': 'o_myHxjVyBwl@??rPgrA??jKe~@??w[_h@', 'travelled': True}, {'encodedWaypoints': 'abmyHraO_w@gkD??tIacC??keB{zD??a~AdI??ifAyqA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHBN1,,"{'address': 'Liverpool Street Station', 'class': 'Location', 'lat': 51.51794, 'lng': -0.08233, 'timezone': 'Europe/London'}",90.0,scheduled,in summary,5,South Ealing,Liverpool Street
