,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Take <NUMBER>,9400ZZLULSQ2,"{'address': 'Totteridge & Whetstone', 'class': 'Location', 'lat': 51.63036, 'lng': -0.17943, 'timezone': 'Europe/London'}",-2060755092,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'k~fzHz}d@t|Bm|A', 'travelled': False}, {'encodedWaypoints': 'u`czHl`b@|nA`g@??fs@tP??rs@hY??htA{kD??rz@awB??`qAecA??dp@~T??fg@lN??rcAzH??`^eW??ne@aZ??rWvT??rUkS??f\\_Z??|WiJ', 'travelled': True}, {'encodedWaypoints': 'y{kyHnbXvRiP??tHgR??jWmw@??r|Ako@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUTAW2,,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51181, 'lng': -0.12855, 'timezone': 'Europe/London'}",156.0,scheduled,in summary,11,Totteridge & Whetstone,Osterley
1,<TIME>: Walk,,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51181, 'lng': -0.12855, 'timezone': 'Europe/London'}",-163521971,,160.0,"{'description': 'Leicester Square', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'y{kyHnbXHOAKC?C??A?WA?FA@?v@r@@M?Op@????uBW@', 'metres': 159}]","{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51135, 'lng': -0.12781, 'timezone': 'Europe/London'}",121.0,unscheduled,in summary,11,Totteridge & Whetstone,Osterley
2,<TIME>: Wait ,,,-495004435,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51135, 'lng': -0.12781, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,11,Totteridge & Whetstone,Osterley
3,<TIME>: Take <NUMBER>,9400ZZLUOSY2,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51135, 'lng': -0.12781, 'timezone': 'Europe/London'}",-2042307054,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qasyHpeVtkBnZ??tp@rG??ze@sX??bYfX??fHnS', 'travelled': False}, {'encodedWaypoints': '}xkyHx}W|Jvl@??pNtj@??dZthA??dGtn@??nm@piA??i@l|@??lNfaA??lGf}B??eJnz@??kaAf`J??zIpjD??xGtd@??lXteA??lwAvhD', 'travelled': True}, {'encodedWaypoints': '_}eyHpwcAbp@hY??`Mh~@??aLbyB??~j@tkF??a_@fwD', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLULSQ4,,"{'address': 'Osterley', 'class': 'Location', 'lat': 51.48128, 'lng': -0.35208, 'timezone': 'Europe/London'}",262.0,scheduled,in summary,11,Totteridge & Whetstone,Osterley
4,<TIME>: Walk,,"{'address': 'Osterley', 'class': 'Location', 'lat': 51.48128, 'lng': -0.35208, 'timezone': 'Europe/London'}",1213841179,,99.0,"{'description': '(51.48093,-0.35199)', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': '_}eyHpwcAGIDo@pASFl@@D?A??QH', 'metres': 99}]","{'class': 'Location', 'lat': 51.48093, 'lng': -0.35199, 'timezone': 'Europe/London'}",166.0,unscheduled,in summary,11,Totteridge & Whetstone,Osterley
5,<TIME>: Take <NUMBER>,9400ZZLUOSY2,"{'address': 'Leicester Square', 'class': 'Location', 'lat': 51.51135, 'lng': -0.12781, 'timezone': 'Europe/London'}",-2042308356,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qasyHpeVtkBnZ??tp@rG??ze@sX??bYfX??fHnS', 'travelled': False}, {'encodedWaypoints': '}xkyHx}W|Jvl@??pNtj@??dZthA??dGtn@??nm@piA??i@l|@??lNfaA??lGf}B??eJnz@??kaAf`J??zIpjD??xGtd@??lXteA??lwAvhD', 'travelled': True}, {'encodedWaypoints': '_}eyHpwcAbp@hY??`Mh~@??aLbyB??~j@tkF??xp@njC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLULSQ4,,"{'address': 'Osterley', 'class': 'Location', 'lat': 51.48128, 'lng': -0.35208, 'timezone': 'Europe/London'}",262.0,scheduled,in summary,11,Totteridge & Whetstone,Osterley
