,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Take <NUMBER>,9400ZZLUEUS3,"{'address': 'Burnt Oak Station', 'class': 'Location', 'lat': 51.60268, 'lng': -0.2642, 'timezone': 'Europe/London'}",72295671,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'uv_zHdwt@xaAacA', 'travelled': False}, {'encodedWaypoints': '{s}yHbsr@|l@wvA??rkAwrC??bh@koA??lY_yB??lbBibB??je@ssA??re@odA??|]aaA??fcAmaA', 'travelled': True}, {'encodedWaypoints': 'cboyHh{XqNg`A??mEubB??`j@_rB??zd@r@??nh@f@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUBTK1,,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52819, 'lng': -0.13253, 'timezone': 'Europe/London'}",119.0,scheduled,in summary,6,Burnt Oak,Highbury & Islington
1,<TIME>: Walk,,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52819, 'lng': -0.13253, 'timezone': 'Europe/London'}",-632920109,,185.0,"{'description': 'Euston Station', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'cboyHh{XPJ_@kAFGj@n@A?DNL`@DEDEBNDHDABFR[AE[aAORE@', 'metres': 185}]","{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52791, 'lng': -0.13236, 'timezone': 'Europe/London'}",150.0,unscheduled,in summary,6,Burnt Oak,Highbury & Islington
2,<TIME>: Wait ,,,-494847296,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52791, 'lng': -0.13236, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,6,Burnt Oak,Highbury & Islington
3,<TIME>: Take <NUMBER>,9400ZZLUHAI1,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52791, 'lng': -0.13236, 'timezone': 'Europe/London'}",1402897913,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'qmgyH`fYip@|y@??_z@sF??ox@@??as@iU??}Wyg@', 'travelled': False}, {'encodedWaypoints': 'k`oyHhzXyMs|@??ceBavB', 'travelled': True}, {'encodedWaypoints': 'iuryHreSkmBfP??ooB}gE??wc@klA??bHs}B??vV{fC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUEUS1,,"{'address': 'Highbury & Islington Station', 'class': 'Location', 'lat': 51.54662, 'lng': -0.10345, 'timezone': 'Europe/London'}",58.0,scheduled,in summary,6,Burnt Oak,Highbury & Islington
4,<TIME>: Walk,,"{'address': 'Highbury & Islington Station', 'class': 'Location', 'lat': 51.54662, 'lng': -0.10345, 'timezone': 'Europe/London'}",-1699884973,,101.0,"{'description': '(51.54623,-0.10396)', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'iuryHreS?A@H@?HNXh@lAXg@H', 'metres': 101}]","{'class': 'Location', 'lat': 51.54623, 'lng': -0.10396, 'timezone': 'Europe/London'}",232.0,unscheduled,in details,6,Burnt Oak,Highbury & Islington
