,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.54623, 'lng': -0.10396, 'timezone': 'Europe/London'}",232688231,,100.0,"{'description': 'Highbury & Islington Station', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': '{rryHxhSf@ImAYYi@IOA?AI', 'metres': 100}]","{'address': 'Highbury & Islington Station', 'class': 'Location', 'lat': 51.54662, 'lng': -0.10344, 'timezone': 'Europe/London'}",54.0,unscheduled,in details,7,Highbury & Islington,Burnt Oak
1,<TIME>: Take <NUMBER>,9400ZZLUKSX2,"{'address': 'Highbury & Islington Station', 'class': 'Location', 'lat': 51.54662, 'lng': -0.10344, 'timezone': 'Europe/London'}",-1266597406,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'axyyH`zBwVzfC??cHr}B??`d@|lA??hoBreE??fmBqN', 'travelled': False}, {'encodedWaypoints': 'iuryHpeS~dBnuB', 'travelled': True}, {'encodedWaypoints': 'iooyH`|VtMt|@??rXnh@??lr@dT??~x@\\??`z@zF', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHAI2,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",229.0,scheduled,in summary,7,Highbury & Islington,Burnt Oak
2,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",407398686,,102.0,"{'description': ""King's Cross St. Pancras"", 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'iooyH`|VBRYO??ONGF??CKAK?K?@GBGDAFGD?@EMCQAA??DSDSBF?C', 'metres': 100}]","{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",34.0,unscheduled,in summary,7,Highbury & Islington,Burnt Oak
3,<TIME>: Wait ,,,-494817226,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,7,Highbury & Islington,Burnt Oak
4,<TIME>: Take <NUMBER>,9400ZZLUBTK1,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",-33262129,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'utjyH~iPeh@mC??_h@K??ee@y@??aj@~qB??nEbcB', 'travelled': False}, {'encodedWaypoints': 'sqoyHnzVvQx|@??{eA|cA??q^paA??ge@beA??ee@|sA??_cBhaB??mY`yB??ch@joA??skAvrC??}l@vvA', 'travelled': True}, {'encodedWaypoints': '{s}yHbsr@yaA`cA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX4,,"{'address': 'Burnt Oak Station', 'class': 'Location', 'lat': 51.6027, 'lng': -0.26434, 'timezone': 'Europe/London'}",297.0,scheduled,in summary,7,Highbury & Islington,Burnt Oak
5,<TIME>: Take <NUMBER>,9400ZZLUEUS6,"{'address': 'Highbury & Islington Station', 'class': 'Location', 'lat': 51.54662, 'lng': -0.10344, 'timezone': 'Europe/London'}",368832077,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'axyyH`zBwVzfC??cHr}B??`d@|lA??hoBreE??fmBqN', 'travelled': False}, {'encodedWaypoints': 'iuryHpeS~dBnuB??tMt|@', 'travelled': True}, {'encodedWaypoints': 's`oyHvyXrXnh@??lr@dT??~x@\\??`z@zF??|o@ez@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHAI2,,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52794, 'lng': -0.13228, 'timezone': 'Europe/London'}",237.0,scheduled,in summary,7,Highbury & Islington,Burnt Oak
6,<TIME>: Walk,,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52794, 'lng': -0.13228, 'timezone': 'Europe/London'}",-2063145737,,106.0,"{'description': 'Euston Station', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 's`oyHvyXLNNSZ`A@D?@@CFGFG??M[KmA?DBB', 'metres': 106}]","{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52767, 'lng': -0.13204, 'timezone': 'Europe/London'}",139.0,unscheduled,in summary,7,Highbury & Islington,Burnt Oak
7,<TIME>: Wait ,,,-494849094,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52767, 'lng': -0.13204, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,7,Highbury & Islington,Burnt Oak
8,<TIME>: Take <NUMBER>,9400ZZLUBTK1,"{'address': 'Euston Station', 'class': 'Location', 'lat': 51.52767, 'lng': -0.13204, 'timezone': 'Europe/London'}",1433027018,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '{}kyHpeP_h@K??ee@y@??aj@~qB??nEbcB??vQx|@', 'travelled': False}, {'encodedWaypoints': '{~nyHhxX{eA|cA??q^paA??ge@beA??ee@|sA??_cBhaB??mY`yB??ch@joA??skAvrC??}l@vvA', 'travelled': True}, {'encodedWaypoints': '{s}yHbsr@yaA`cA', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUEUS2,,"{'address': 'Burnt Oak Station', 'class': 'Location', 'lat': 51.6027, 'lng': -0.26434, 'timezone': 'Europe/London'}",300.0,scheduled,in summary,7,Highbury & Islington,Burnt Oak
