,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.55082, 'lng': -0.16425, 'timezone': 'Europe/London'}",954517273,,149.0,"{'description': 'Downside Crescent', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'qosyHpa_@??PSTb@n@|A??RYf@w@A?j@_A', 'metres': 149}]","{'address': 'Downside Crescent', 'class': 'Location', 'lat': 51.54987, 'lng': -0.16406, 'timezone': 'Europe/London'}",168.0,unscheduled,in summary,3,Belsize Park,Russell Square
1,<TIME>: Take <NUMBER>,490000200J,"{'address': 'Downside Crescent', 'class': 'Location', 'lat': 51.54987, 'lng': -0.16406, 'timezone': 'Europe/London'}",-549925500,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'cbtyHvj_@bBhP??jFeE??lHcL??pCiG', 'travelled': False}, {'encodedWaypoints': 'sisyHl`_@|FkL??lMg[??fJuT??dJs_@??Ea^??vDwN??fKmA??zFv@??bJ}H??tPsF??jLuM??dTuU??xIuL??hKwJ??tHcJ', 'travelled': True}, {'encodedWaypoints': '}bnyHnuWlMmP??dHeJ??vPcK??fTeU??fHfD', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490006180S,,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52319, 'lng': -0.12647, 'timezone': 'Europe/London'}",125.0,scheduled,in summary,3,Belsize Park,Russell Square
2,<TIME>: Walk,,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52319, 'lng': -0.12647, 'timezone': 'Europe/London'}",-1499797368,,217.0,"{'description': 'Guilford Street & Herbrand Street', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': '}bnyHnuWKe@???APQf@m@FEBGGSFUDG??Qq@UqA??NOt@_A????IUEc@UD', 'metres': 214}]","{'address': 'Guilford Street & Herbrand Street', 'class': 'Location', 'lat': 51.52291, 'lng': -0.12431, 'timezone': 'Europe/London'}",97.0,unscheduled,in summary,3,Belsize Park,Russell Square
3,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.55043, 'lng': -0.16423, 'timezone': 'Europe/London'}",-1392332440,,172.0,"{'description': 'Belsize Park Station', 'instruction': 'Walk', 'mainValue': '200m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 200m,,,,,,"[{'encodedWaypoints': 'cmsyHna_@e@Rn@zA??RYf@w@A???CEw@lADLVD', 'metres': 171}]","{'address': 'Belsize Park Station', 'class': 'Location', 'lat': 51.55024, 'lng': -0.16484, 'timezone': 'Europe/London'}",252.0,unscheduled,in summary,3,Belsize Park,Russell Square
4,<TIME>: Take <NUMBER>,9400ZZLUKSX5,"{'address': 'Belsize Park Station', 'class': 'Location', 'lat': 51.55024, 'lng': -0.16484, 'timezone': 'Europe/London'}",660616390,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '}e|yHj{o@rkAwrC??bh@koA??lY_yB??lbBibB??je@ssA', 'travelled': False}, {'encodedWaypoints': '}ksyHhe_@re@odA??|]aaA??fcAmaA??qNg`A', 'travelled': True}, {'encodedWaypoints': 'uqoyH`zVmEubB??`j@_rB??zd@r@??nh@f@??~g@vB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUBZP2,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53068, 'lng': -0.12208, 'timezone': 'Europe/London'}",114.0,scheduled,in summary,3,Belsize Park,Russell Square
5,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53068, 'lng': -0.12208, 'timezone': 'Europe/London'}",-117547351,,109.0,"{'description': ""King's Cross St. Pancras"", 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'uqoyH`zVBDAJCG??EREP??ADA@?@??EFEDA@@N?Jo@rA?DM^I?', 'metres': 107}]","{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",295.0,unscheduled,in summary,3,Belsize Park,Russell Square
6,<TIME>: Wait ,,,-494812731,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,3,Belsize Park,Russell Square
7,<TIME>: Take <NUMBER>,9400ZZLURSQ2,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",-170421861,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chwyH~zQzc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': False}, {'encodedWaypoints': '{toyH`aWtp@rG', 'travelled': True}, {'encodedWaypoints': 'ecnyHtiWze@sX??bYfX??fHnS??|Jvl@??pNtj@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX7,,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52323, 'lng': -0.12458, 'timezone': 'Europe/London'}",189.0,scheduled,in summary,3,Belsize Park,Russell Square
8,<TIME>: Take <NUMBER>,9400ZZLURSQ2,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",-170428743,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chwyH~zQzc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': False}, {'encodedWaypoints': '{toyH`aWtp@rG', 'travelled': True}, {'encodedWaypoints': 'ecnyHtiWze@sX??bYfX??fHnS??|Jvl@??pNtj@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX7,,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52323, 'lng': -0.12458, 'timezone': 'Europe/London'}",189.0,scheduled,in summary,3,Belsize Park,Russell Square
9,<TIME>: Take <NUMBER>,9400ZZLURSQ2,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53119, 'lng': -0.1232, 'timezone': 'Europe/London'}",-170431347,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chwyH~zQzc@dy@??le@zI??f`@rc@??~Xz_@??tkBnZ', 'travelled': False}, {'encodedWaypoints': '{toyH`aWtp@rG', 'travelled': True}, {'encodedWaypoints': 'ecnyHtiWze@sX??bYfX??fHnS??|Jvl@??pNtj@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX7,,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52323, 'lng': -0.12458, 'timezone': 'Europe/London'}",189.0,scheduled,in summary,3,Belsize Park,Russell Square
