,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Ladbroke Grove', 'class': 'Location', 'lat': 51.51719, 'lng': -0.21086, 'timezone': 'Europe/London'}",-1992619518,,114.0,"{'description': 'Ladbroke Grove', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'k}lyH|dh@eBf@bBS', 'metres': 114}]","{'address': 'Ladbroke Grove', 'class': 'Location', 'lat': 51.51719, 'lng': -0.21096, 'timezone': 'Europe/London'}",272.0,unscheduled,in summary,14,Ladbroke Grove,Hornchurch
1,<TIME>: Take <NUMBER>,9400ZZLUBKG1,"{'address': 'Ladbroke Grove', 'class': 'Location', 'lat': 51.51719, 'lng': -0.21096, 'timezone': 'Europe/London'}",-1526218738,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'akhyHb_k@gp@hI??yXmA??kVaL??yVqg@??cWyj@', 'travelled': False}, {'encodedWaypoints': 'm}lyHpeh@uUax@??|JwrA??tDu{@??_JwcA??uMyaA??wHmqA??aKmr@??yXmfA??zx@kuB??dAek@??lJmt@??lFek@??lIafA??yVi~@??sMkvA??wU}sA??wHsr@??tMmpA??yWalB??iOyeA??uWqjB??gY}pB??oBypD', 'travelled': True}]",[{'provider': 'London Underground'}],9400ZZLULAD1,,"{'address': 'Barking Station', 'class': 'Location', 'lat': 51.53973, 'lng': 0.08048, 'timezone': 'Europe/London'}",86.0,scheduled,in summary,14,Ladbroke Grove,Hornchurch
2,<TIME>: Wait ,,,-494667899,"{'address': 'Barking Station', 'class': 'Location', 'lat': 51.53973, 'lng': 0.08048, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,14,Ladbroke Grove,Hornchurch
3,<TIME>: Take <NUMBER>,9400ZZLUHCH1,"{'address': 'Barking Station', 'class': 'Location', 'lat': 51.53973, 'lng': 0.08048, 'timezone': 'Europe/London'}",355164310,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'ujnyHfkAyWalB??iOyeA??uWqjB??gY}pB??oBypD', 'travelled': False}, {'encodedWaypoints': 'gjqyH}uNnHexB??mKqgD??{FwvB??uNgwB??ma@ehE??oYq`C', 'travelled': True}, {'encodedWaypoints': 'uatyHmri@kZofB??iDgfB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUBKG1,,"{'address': 'Hornchurch', 'class': 'Location', 'lat': 51.55372, 'lng': 0.21816, 'timezone': 'Europe/London'}",85.0,scheduled,in summary,14,Ladbroke Grove,Hornchurch
4,<TIME>: Walk,,"{'address': 'Hornchurch', 'class': 'Location', 'lat': 51.55372, 'lng': 0.21816, 'timezone': 'Europe/London'}",1903730668,,235.0,"{'description': 'Station Lane', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'uatyHmri@f@D??v@@j@_@??E[CO?E?C?IDg@??kAe@}@Y??e@QQd@', 'metres': 233}]","{'address': 'Station Lane', 'class': 'Location', 'lat': 51.55401, 'lng': 0.21902, 'timezone': 'Europe/London'}",72.0,unscheduled,in summary,14,Ladbroke Grove,Hornchurch
