,action,endStopCode,from,hashCode,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.47122, 'lng': -0.45244, 'timezone': 'Europe/London'}",988246275,77.0,"{'description': 'Heathrow Terminals 2 & 3 Underground Station', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'a~cyHvjwAc@`AIV[v@B?PD', 'metres': 77}]","{'address': 'Heathrow Terminals 2 & 3 Underground Station', 'class': 'Location', 'lat': 51.47147, 'lng': -0.45319, 'timezone': 'Europe/London'}",289,unscheduled,in summary,8,"Heathrow Terminals 1, 2, 3",Southgate
1,<TIME>: Take <NUMBER>,9400ZZLUSGT1,"{'address': 'Heathrow Terminals 2 & 3 Underground Station', 'class': 'Location', 'lat': 51.47147, 'lng': -0.45319, 'timezone': 'Europe/London'}",-1966114896,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'amayHncvAsqA~j@', 'travelled': False}, {'encodedWaypoints': 'u_dyHnowAx_@ovD??_k@ukF??`LcyB??{L}}@??qp@_Z??mwA{hD??}WudA??cHce@??qIckD??`aAg`J??dJmy@??cGk}B??yN_aA??l@q|@??am@{jA??sG_n@??eZuhA??oMcg@??mL{o@??gHmS??gWuW??qg@rW??cp@uG??_lBoZ??_Y{_@??s`@qb@??ee@gI??wc@{z@??szBdg@??em@bl@??gz@`yA??sy@rt@??kbBm`@', 'travelled': True}, {'encodedWaypoints': 'ekczHp~Ws}AbV??cYbmB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUHRC1,,"{'address': 'Southgate', 'class': 'Location', 'lat': 51.63204, 'lng': -0.12793, 'timezone': 'Europe/London'}",64,scheduled,in summary,8,"Heathrow Terminals 1, 2, 3",Southgate
