,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Guilford Street & Herbrand Street', 'class': 'Location', 'lat': 51.52291, 'lng': -0.12431, 'timezone': 'Europe/London'}",1345058003,,234.0,"{'description': 'Russell Square', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'eanyH~gWTEDb@HT????u@~@ON??TpAPp@EFGTFR??CFGDg@l@QP?@Jd@\\R', 'metres': 233}]","{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52305, 'lng': -0.12658, 'timezone': 'Europe/London'}",274.0,unscheduled,in summary,2,Russell Square,Belsize Park
1,<TIME>: Take <NUMBER>,490013939N,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52305, 'lng': -0.12658, 'timezone': 'Europe/London'}",-643487045,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'axjyH~nUsYrW??kOeE??iVtL??sO`J??_V|Z', 'travelled': False}, {'encodedWaypoints': '_bnyHbvWiLxM??kJtK??yIpJ??yOdQ??{]n^??gJzI??yWx[??_Fb[??yDzO??sLfV??{O~]', 'travelled': True}, {'encodedWaypoints': 'qdsyHxy^gHnN??aL`S??sEiH??mBcG', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490000200H,,"{'address': 'Upper Park Road', 'class': 'Location', 'lat': 51.54906, 'lng': -0.163, 'timezone': 'Europe/London'}",306.0,scheduled,in summary,2,Russell Square,Belsize Park
2,<TIME>: Walk,,"{'address': 'Upper Park Road', 'class': 'Location', 'lat': 51.54906, 'lng': -0.163, 'timezone': 'Europe/London'}",-582353347,,269.0,"{'description': '(51.55043,-0.16423)', 'instruction': 'Walk', 'mainValue': '300m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 300m,,,,,,"[{'encodedWaypoints': 'qdsyHxy^OGm@@??o@|AKTg@dBk@~@@?g@v@SXo@{Ad@S', 'metres': 268}]","{'class': 'Location', 'lat': 51.55043, 'lng': -0.16423, 'timezone': 'Europe/London'}",318.0,unscheduled,in summary,2,Russell Square,Belsize Park
3,<TIME>: Walk,,"{'address': 'Guilford Street & Herbrand Street', 'class': 'Location', 'lat': 51.52291, 'lng': -0.12431, 'timezone': 'Europe/London'}",215766927,,125.0,"{'description': 'Russell Square', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'eanyH~gWTEDb@HT????u@~@ON??QqAUD', 'metres': 124}]","{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52328, 'lng': -0.1246, 'timezone': 'Europe/London'}",323.0,unscheduled,in summary,2,Russell Square,Belsize Park
4,<TIME>: Take <NUMBER>,9400ZZLUKSX6,"{'address': 'Russell Square', 'class': 'Location', 'lat': 51.52328, 'lng': -0.1246, 'timezone': 'Europe/London'}",1179151753,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'm}jyHfwZoMcg@??mL{o@??gHmS??gWuW??qg@rW', 'travelled': False}, {'encodedWaypoints': 'mcnyHviWcp@uG', 'travelled': True}, {'encodedWaypoints': 'qtoyH`aW_lBoZ??_Y{_@??s`@qb@??ee@gI??wc@{z@', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLURSQ1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53113, 'lng': -0.1232, 'timezone': 'Europe/London'}",11.0,scheduled,in summary,2,Russell Square,Belsize Park
5,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53113, 'lng': -0.1232, 'timezone': 'Europe/London'}",-2074240417,,97.0,"{'description': ""King's Cross St. Pancras"", 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'qtoyH`aWL_@?En@sA?KAO??@ADEDG???A@A@E??DQDSBF?C', 'metres': 96}]","{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",113.0,unscheduled,in summary,2,Russell Square,Belsize Park
6,<TIME>: Wait ,,,-494817226,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,2,Russell Square,Belsize Park
7,<TIME>: Take <NUMBER>,9400ZZLUBZP1,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53067, 'lng': -0.12216, 'timezone': 'Europe/London'}",-1260684642,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'utjyH~iPeh@mC??_h@K??ee@y@??aj@~qB??nEbcB', 'travelled': False}, {'encodedWaypoints': 'sqoyHnzVvQx|@??{eA|cA??q^paA??ge@beA', 'travelled': True}, {'encodedWaypoints': 'qksyH|e_@ee@|sA??_cBhaB??mY`yB??ch@joA??skAvrC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUKSX4,,"{'address': 'Belsize Park Station', 'class': 'Location', 'lat': 51.55018, 'lng': -0.16495, 'timezone': 'Europe/London'}",295.0,scheduled,in summary,2,Russell Square,Belsize Park
