,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,turn-by-turn,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.52337, 'lng': -0.25974, 'timezone': 'Europe/London'}",-775722797,,32.0,"{'description': 'North Acton', 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': '_dnyHjvq@GLKFD@BBCRFC', 'metres': 32}]","{'address': 'North Acton', 'class': 'Location', 'lat': 51.5234, 'lng': -0.25995, 'timezone': 'Europe/London'}",279.0,,unscheduled,in details,0,North Acton,Kensington (Olympia)
1,<TIME>: Take <NUMBER>,9400ZZLUSBC1,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.5234, 'lng': -0.25995, 'timezone': 'Europe/London'}",1023462463,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '_utyHn`mAdt@a|D??fd@ssC??lc@_lC??rf@yvD??hi@gqE', 'travelled': False}, {'encodedWaypoints': 'ednyHvwq@fg@kiA??~^crC??lm@ye@', 'travelled': True}, {'encodedWaypoints': 'omjyHlsi@aOelA??qIws@??iHc~@??cHimA??kJyiB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUNAN1,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",114.0,,scheduled,in summary,0,North Acton,Kensington (Olympia)
2,<TIME>: Walk,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",2071038067,,1130.0,"{'description': 'Olympia Way', 'instruction': 'Walk', 'mainValue': '1.2km'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 1.2km,,,,,,"[{'encodedWaypoints': 'omjyHlsi@?D??Cs@DCBG@M?OHy@?@?????g@@]@SBY??NgAGM^mA??BKJa@Rw@x@p@??L^zAwA??dD_D??l@hB??^dAHX??f@kAR_@VW??ZWz@s@vAgA??V]t@_A|@cAz@eAb@k@?@??PS|@gArBmC@@DIjB_CJMYuB??DQ?S', 'metres': 1125}]","{'address': 'Olympia Way', 'class': 'Location', 'lat': 51.49781, 'lng': -0.21038, 'timezone': 'Europe/London'}",116.0,WALKING,unscheduled,in summary,0,North Acton,Kensington (Olympia)
3,<TIME>: Take <NUMBER>,9400ZZLUSBC1,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.5234, 'lng': -0.25995, 'timezone': 'Europe/London'}",1023404803,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '_plyHl|y@uQaaC??o`@saC', 'travelled': False}, {'encodedWaypoints': 'ednyHvwq@fg@kiA??~^crC??lm@ye@', 'travelled': True}, {'encodedWaypoints': 'omjyHlsi@aOelA??qIws@??iHc~@??cHimA??kJyiB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUNAN1,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",114.0,,scheduled,in summary,0,North Acton,Kensington (Olympia)
4,<TIME>: Take <NUMBER>,9400ZZLUSBC1,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.5234, 'lng': -0.25995, 'timezone': 'Europe/London'}",1024615663,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': '_utyHn`mAdt@a|D??fd@ssC??lc@_lC??rf@yvD??hi@gqE', 'travelled': False}, {'encodedWaypoints': 'ednyHvwq@fg@kiA??~^crC??lm@ye@', 'travelled': True}, {'encodedWaypoints': 'omjyHlsi@aOelA??qIws@??iHc~@??cHimA??kJyiB', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUNAN1,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50441, 'lng': -0.21831, 'timezone': 'Europe/London'}",114.0,,scheduled,in summary,0,North Acton,Kensington (Olympia)
5,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.52337, 'lng': -0.25974, 'timezone': 'Europe/London'}",1779297612,,205.0,"{'description': 'North Acton', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': '_dnyHjvq@GLKFD@BBCR?AGlA@B?DB@l@\\FDD@??T{AJm@D]PmA@?ZR', 'metres': 204}]","{'address': 'North Acton', 'class': 'Location', 'lat': 51.52271, 'lng': -0.25947, 'timezone': 'Europe/London'}",158.0,,unscheduled,in summary,0,North Acton,Kensington (Olympia)
6,<TIME>: Take <NUMBER>,490000203B,"{'address': 'North Acton', 'class': 'Location', 'lat': 51.52271, 'lng': -0.25947, 'timezone': 'Europe/London'}",-1832862278,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'spoyH~ms@vJmA??tM}G??bVcR??_@cH??DsP', 'travelled': False}, {'encodedWaypoints': '{_nyHvtq@lIrD??vUdD??lM}X??nFob@??`C}O??`KgI??hJoD??nMiC??vBeV??n@wU??GkY??h@cO??zC}[??Z}r@', 'travelled': True}, {'encodedWaypoints': 'wrjyHxsi@gTzc@', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490000157V,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50524, 'lng': -0.21836, 'timezone': 'Europe/London'}",113.0,,scheduled,in summary,0,North Acton,Kensington (Olympia)
7,<TIME>: Walk,,"{'address': ""Shepherd's Bush (Central Line)"", 'class': 'Location', 'lat': 51.50524, 'lng': -0.21836, 'timezone': 'Europe/London'}",-1314521811,,215.0,"{'description': 'Shepherds Bush', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'wrjyHxsi@CG@?jAL?EVB\\@JBHEAEEWGGGEcAG??EEMA@??O@Wa@USCBU', 'metres': 215}]","{'address': 'Shepherds Bush', 'class': 'Location', 'lat': 51.50528, 'lng': -0.21765, 'timezone': 'Europe/London'}",88.0,,unscheduled,in summary,0,North Acton,Kensington (Olympia)
8,<TIME>: Wait ,,,-495090925,"{'address': 'Shepherds Bush', 'class': 'Location', 'lat': 51.50528, 'lng': -0.21765, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,0,North Acton,Kensington (Olympia)
9,<TIME>: Take <NUMBER>,KENOLYM,"{'address': 'Shepherds Bush', 'class': 'Location', 'lat': 51.50528, 'lng': -0.21765, 'timezone': 'Europe/London'}",1735660814,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Train', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_train', 'localIcon': 'train'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LO,London Overground,"[{'encodedWaypoints': 'uzryHzid@jMpdA??|Zzo@??le@l|@??xKtxC??biDcgD', 'travelled': False}, {'encodedWaypoints': '_sjyHhoi@bm@ql@', 'travelled': True}, {'encodedWaypoints': '{diyHvah@vbAi{A??tjAynA??fbAkmA', 'travelled': False}]",[{'provider': 'London Overground'}],SHPDSB,,"{'address': 'Kensington (Olympia)', 'class': 'Location', 'lat': 51.4979, 'lng': -0.21036, 'timezone': 'Europe/London'}",135.0,,scheduled,in summary,0,North Acton,Kensington (Olympia)
