,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
10,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",254153782,,104.0,"{'description': ""King's Cross St. Pancras"", 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'iooyH`|VBRYO??ONGF????DR@H@J?J^hANV?E', 'metres': 102}]","{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53024, 'lng': -0.12327, 'timezone': 'Europe/London'}",266.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
11,<TIME>: Wait ,,,-494822372,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53024, 'lng': -0.12327, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,19,Tottenham Hale,Chancery Lane
12,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53024, 'lng': -0.12327, 'timezone': 'Europe/London'}",-2019851213,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON CENTRAL BUS COMP,LONDON CENTRAL BUS COMP,"[{'encodedWaypoints': 'mvoyHt{WnFeY', 'travelled': False}, {'encodedWaypoints': '}noyHnaW{@}[??fLqP??vFgD??pJkU??vPvA??bIrF??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??y@yO??f@{F??zRoC??bI_A', 'travelled': False}]",[{'provider': 'LONDON CENTRAL BUS COMP'}],490000129D,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",135.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
13,<TIME>: Walk,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",-88694071,,100.0,"{'description': ""Gray's Inn Road & High Holborn"", 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'yfmyHpyTBg@AA??@?hAo@ZFCd@??JX', 'metres': 99}]","{'address': ""Gray's Inn Road & High Holborn"", 'class': 'Location', 'lat': 51.51812, 'lng': -0.11168, 'timezone': 'Europe/London'}",171.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
14,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53024, 'lng': -0.12327, 'timezone': 'Europe/London'}",-827170883,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'eeqyHhbZfRuO??dBsK??lEaW??zPgP??nFeY', 'travelled': False}, {'encodedWaypoints': '}noyHnaW{@}[??tMiA??`NaC??zF}F??pNkN??fFcD??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??rA{O??hCqO??uEsK', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490000129D,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",135.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
15,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53024, 'lng': -0.12327, 'timezone': 'Europe/London'}",778440513,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",ABELLIO LONDON LIMITED,ABELLIO LONDON LIMITED,"[{'encodedWaypoints': 'mvoyHt{WnFeY', 'travelled': False}, {'encodedWaypoints': '}noyHnaW{@}[??tMiA??`NaC??zF}F??pNkN??fFcD??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??y@yO??f@{F??zRoC??bI_A', 'travelled': False}]",[{'provider': 'ABELLIO LONDON LIMITED'}],490000129D,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",135.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
16,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",1949728835,,387.0,"{'description': ""King's Cross Rd/Pentonville Rd"", 'instruction': 'Walk', 'mainValue': '400m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 400m,,,,,,"[{'encodedWaypoints': 'iooyH`|VBRYO??ONGF??CKAK?K?@GBGDAFGD?@EMCQAA????CS??AO?MAQAYIuB?M?EAW@@AIQyE????Da@@OJ{@FBN_AVyBVPIP', 'metres': 384}]","{'address': ""King's Cross Rd/Pentonville Rd"", 'class': 'Location', 'lat': 51.53054, 'lng': -0.11864, 'timezone': 'Europe/London'}",78.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
17,<TIME>: Wait ,,,-494818032,"{'address': ""King's Cross Rd/Pentonville Rd"", 'class': 'Location', 'lat': 51.53054, 'lng': -0.11864, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,19,Tottenham Hale,Chancery Lane
18,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross Rd/Pentonville Rd"", 'class': 'Location', 'lat': 51.53054, 'lng': -0.11864, 'timezone': 'Europe/London'}",985121240,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON CENTRAL BUS COMP,LONDON CENTRAL BUS COMP,"[{'encodedWaypoints': 'mvoyHt{WnFeY??{@}[', 'travelled': False}, {'encodedWaypoints': 'ypoyHpdVfLqP??vFgD??pJkU??vPvA??bIrF??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??y@yO??f@{F??zRoC??bI_A', 'travelled': False}]",[{'provider': 'LONDON CENTRAL BUS COMP'}],490010929L,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",149.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
19,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross Rd/Pentonville Rd"", 'class': 'Location', 'lat': 51.53054, 'lng': -0.11864, 'timezone': 'Europe/London'}",-511565862,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",ABELLIO LONDON LIMITED,ABELLIO LONDON LIMITED,"[{'encodedWaypoints': 'mvoyHt{WnFeY??{@}[', 'travelled': False}, {'encodedWaypoints': 'ypoyHpdVtMiA??`NaC??zF}F??pNkN??fFcD??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??y@yO??f@{F??zRoC??bI_A', 'travelled': False}]",[{'provider': 'ABELLIO LONDON LIMITED'}],490010929L,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",149.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
20,<TIME>: Walk,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",-1206546741,,236.0,"{'description': ""King's Cross /Pentonville Road"", 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'iooyH`|VBRYO??ONGF??CKAK?K?@GBGDAFGD?@EFEM??AECAA?C?C@??A@?[EwAGmCCS_AI?NME', 'metres': 234}]","{'address': ""King's Cross /Pentonville Road"", 'class': 'Location', 'lat': 51.53132, 'lng': -0.12106, 'timezone': 'Europe/London'}",53.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
21,<TIME>: Wait ,,,-494811119,"{'address': ""King's Cross /Pentonville Road"", 'class': 'Location', 'lat': 51.53132, 'lng': -0.12106, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,19,Tottenham Hale,Chancery Lane
22,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross /Pentonville Road"", 'class': 'Location', 'lat': 51.53132, 'lng': -0.12106, 'timezone': 'Europe/London'}",-1288053500,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'uwqyHt|UtKkA??xOkA??xH`A??tJ|G??~MvO', 'travelled': False}, {'encodedWaypoints': 'uuoyHtsVzCcN??tMiA??`NaC??zF}F??pNkN??fFcD??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??y@yO??f@{F??zRoC??~DwN', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490001171H,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",143.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
23,<TIME>: Take <NUMBER>,490008165C,"{'address': ""King's Cross Rd/Pentonville Rd"", 'class': 'Location', 'lat': 51.53054, 'lng': -0.11864, 'timezone': 'Europe/London'}",-2117159960,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': '}qpyHrqYdBsK??lEaW??zPgP??nFeY??{@}[', 'travelled': False}, {'encodedWaypoints': 'ypoyHpdVtMiA??`NaC??zF}F??pNkN??fFcD??pLeG', 'travelled': True}, {'encodedWaypoints': 'yfmyHpyTjDqN??rA{O??hCqO??uEsK', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490010929L,,"{'address': 'High Holborn / Chancery Lane Station', 'class': 'Location', 'lat': 51.51869, 'lng': -0.11177, 'timezone': 'Europe/London'}",149.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
