,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'class': 'Location', 'lat': 51.58805, 'lng': -0.06028, 'timezone': 'Europe/London'}",321942490,,112.0,"{'description': 'Tottenham Hale', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'gxzyHxwJDTAv@??Ah@?`AEJA`@A?K\\MF?@JF', 'metres': 112}]","{'address': 'Tottenham Hale', 'class': 'Location', 'lat': 51.58816, 'lng': -0.06169, 'timezone': 'Europe/London'}",275.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
1,<TIME>: Take <NUMBER>,9400ZZLUOXC6,"{'address': 'Tottenham Hale', 'class': 'Location', 'lat': 51.58816, 'lng': -0.06169, 'timezone': 'Europe/London'}",662956788,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'axyyH`zBwVzfC??cHr}B', 'travelled': False}, {'encodedWaypoints': '}xzyHp`K`d@|lA??hoBreE??fmBqN??~dBnuB??tMt|@??rXnh@??lr@dT', 'travelled': True}, {'encodedWaypoints': 'qslyHlxZ~x@\\??`z@zF??|o@ez@??xQqz@??pxAmI', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUTMH1,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51561, 'lng': -0.14231, 'timezone': 'Europe/London'}",228.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
2,<TIME>: Walk,,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51561, 'lng': -0.14231, 'timezone': 'Europe/London'}",1259176350,,119.0,"{'description': 'Oxford Circus', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'qslyHlxZAQZI?mAd@yANCD`@KBDH', 'metres': 119}]","{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",117.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
3,<TIME>: Wait ,,,-494972164,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,stationary,in details,19,Tottenham Hale,Chancery Lane
4,<TIME>: Take <NUMBER>,9400ZZLUCHL1,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",-1972142996,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chkyHnqe@iHc~@??cHimA??kJyiB??eD}q@??}Dsq@', 'travelled': False}, {'encodedWaypoints': 'aqlyHtsZaEo|@??kGkjA??yBwl@', 'travelled': True}, {'encodedWaypoints': 'icmyH`}TrPgrA??jKe~@??w[_h@??_w@gkD??tIacC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOXC1,,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51814, 'lng': -0.11232, 'timezone': 'Europe/London'}",85.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
5,<TIME>: Walk,,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51814, 'lng': -0.11232, 'timezone': 'Europe/London'}",-1262669182,,74.0,"{'description': ""Gray's Inn Road & High Holborn"", 'instruction': 'Walk', 'mainValue': '<100m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ <100m,,,,,,"[{'encodedWaypoints': 'icmyH`}TUU?@???AF}ABg@????JX', 'metres': 73}]","{'address': ""Gray's Inn Road & High Holborn"", 'class': 'Location', 'lat': 51.51812, 'lng': -0.11168, 'timezone': 'Europe/London'}",91.0,unscheduled,in summary,19,Tottenham Hale,Chancery Lane
6,<TIME>: Take <NUMBER>,9400ZZLUCHL1,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",-1972144298,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chkyHnqe@iHc~@??cHimA??kJyiB??eD}q@??}Dsq@', 'travelled': False}, {'encodedWaypoints': 'aqlyHtsZaEo|@??kGkjA??yBwl@', 'travelled': True}, {'encodedWaypoints': 'icmyH`}TrPgrA??jKe~@??w[_h@??_w@gkD??tIacC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOXC1,,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51814, 'lng': -0.11232, 'timezone': 'Europe/London'}",85.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
7,<TIME>: Take <NUMBER>,9400ZZLUCHL1,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",-1972136486,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chkyHnqe@iHc~@??cHimA??kJyiB??eD}q@??}Dsq@', 'travelled': False}, {'encodedWaypoints': 'aqlyHtsZaEo|@??kGkjA??yBwl@', 'travelled': True}, {'encodedWaypoints': 'icmyH`}TrPgrA??jKe~@??w[_h@??_w@gkD??tIacC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOXC1,,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51814, 'lng': -0.11232, 'timezone': 'Europe/London'}",85.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
8,<TIME>: Take <NUMBER>,9400ZZLUCHL1,"{'address': 'Oxford Circus', 'class': 'Location', 'lat': 51.51521, 'lng': -0.14155, 'timezone': 'Europe/London'}",-1972089986,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'chkyHnqe@iHc~@??cHimA??kJyiB??eD}q@??}Dsq@', 'travelled': False}, {'encodedWaypoints': 'aqlyHtsZaEo|@??kGkjA??yBwl@', 'travelled': True}, {'encodedWaypoints': 'icmyH`}TrPgrA??jKe~@??w[_h@??_w@gkD??tIacC', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUOXC1,,"{'address': 'Chancery Lane', 'class': 'Location', 'lat': 51.51814, 'lng': -0.11232, 'timezone': 'Europe/London'}",85.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
9,<TIME>: Take <NUMBER>,9400ZZLUKSX2,"{'address': 'Tottenham Hale', 'class': 'Location', 'lat': 51.58816, 'lng': -0.06169, 'timezone': 'Europe/London'}",-615754528,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Subway', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_subway', 'localIcon': 'subway'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",London Underground,London Underground,"[{'encodedWaypoints': 'axyyH`zBwVzfC??cHr}B', 'travelled': False}, {'encodedWaypoints': '}xzyHp`K`d@|lA??hoBreE??fmBqN??~dBnuB', 'travelled': True}, {'encodedWaypoints': 'iooyH`|VtMt|@??rXnh@??lr@dT??~x@\\??`z@zF', 'travelled': False}]",[{'provider': 'London Underground'}],9400ZZLUTMH1,,"{'address': ""King's Cross St. Pancras"", 'class': 'Location', 'lat': 51.53029, 'lng': -0.1224, 'timezone': 'Europe/London'}",226.0,scheduled,in summary,19,Tottenham Hale,Chancery Lane
