,action,endStopCode,from,hashCode,location,metres,mini,modeIdentifier,modeInfo,notes,operatorID,serviceOperator,shapes,sources,stopCode,streets,to,travelDirection,turn-by-turn,type,visibility,route,routeA,routeB
0,<TIME>: Walk,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61339, 'lng': -0.27523, 'timezone': 'Europe/London'}",-1572701401,,213.0,"{'description': 'Edgware', 'instruction': 'Walk', 'mainValue': '250m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 250m,,,,,,"[{'encodedWaypoints': 'uv_zHdwt@Fd@MZAAIVU_@KL[d@CPJHDA@M?QBGDI?@?ALdBJ_@\\cA?@ZJ', 'metres': 213}]","{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",253.0,,unscheduled,in summary,17,Edgware,Rayners Lane
1,<TIME>: Take <NUMBER>,490015250F,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61325, 'lng': -0.27572, 'timezone': 'Europe/London'}",-276189198,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",METROLINE TRAVEL LIMITED,METROLINE TRAVEL LIMITED,"[{'encodedWaypoints': 'olazHhes@V~Q??hBfS??rD`Y??rRmA??lX{H', 'travelled': False}, {'encodedWaypoints': 'wu_zHhzt@x@aC??dIhS??nGxJ??~CtS??bExX??zDrp@??^j\\??nFxe@??~DrX??nNtV??jI~W??`Iri@??`Ifb@??fEzX??zOz@', 'travelled': True}, {'encodedWaypoints': 's|{yHrn`AtIgF??xVsH??pWaA??hMz@??xHvH', 'travelled': False}]",[{'provider': 'METROLINE TRAVEL LIMITED'}],490000070G,,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59387, 'lng': -0.3353, 'timezone': 'Europe/London'}",251.0,,scheduled,in summary,17,Edgware,Rayners Lane
2,<TIME>: Wait ,,,-494275935,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59387, 'lng': -0.3353, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,17,Edgware,Rayners Lane
3,<TIME>: Take <NUMBER>,490000189C,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59387, 'lng': -0.3353, 'timezone': 'Europe/London'}",861148928,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON SOVEREIGN LIMITED,LONDON SOVEREIGN LIMITED,"[{'encodedWaypoints': 'st{yHx|{@dDr[??|Ehk@??_End@??}GfN??eDbS', 'travelled': False}, {'encodedWaypoints': 's|{yHrn`ApDfD??[rY??fD~g@??tAxV??hO|g@??vRdU??nJbI??hRtP??|QnP??tLhK??vHxD', 'travelled': True}, {'encodedWaypoints': 'wbxyHzmgAnKhE??nKjY??zJxG??lQiK??~QqN', 'travelled': False}]",[{'provider': 'LONDON SOVEREIGN LIMITED'}],490015250F,,"{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57437, 'lng': -0.37101, 'timezone': 'Europe/London'}",241.0,,scheduled,in summary,17,Edgware,Rayners Lane
4,<TIME>: Walk,,"{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57437, 'lng': -0.37101, 'timezone': 'Europe/London'}",866715404,,108.0,"{'description': 'Alexandra Avenue', 'instruction': 'Walk', 'mainValue': '150m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 150m,,,,,,"[{'encodedWaypoints': 'wbxyHzmgAHEEj@E?Yc@i@OEKCCA???@@IEOGOf@', 'metres': 108}]","{'address': 'Alexandra Avenue', 'class': 'Location', 'lat': 51.57498, 'lng': -0.37101, 'timezone': 'Europe/London'}",1.0,,unscheduled,in summary,17,Edgware,Rayners Lane
5,<TIME>: Walk,,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61362, 'lng': -0.27498, 'timezone': 'Europe/London'}",-988059642,,298.0,"{'description': 'Edgware', 'instruction': 'Walk', 'mainValue': '300m'}",wa_wal,"{'alt': 'Walk', 'color': {'blue': 99, 'green': 199, 'red': 30}, 'identifier': 'wa_wal', 'localIcon': 'walk'}",<DURATION> ⋅ 300m,,,,,,"[{'encodedWaypoints': 'cx_zHrut@l@p@Fd@MZAAIVU_@KL[d@CPJHDA@M?QBGDI?@?ALdBJ_@\\cA?@??f@sABMBKHCJE?@N?', 'metres': 298}]","{'address': 'Edgware', 'class': 'Location', 'lat': 51.61295, 'lng': -0.27507, 'timezone': 'Europe/London'}",188.0,,unscheduled,in summary,17,Edgware,Rayners Lane
6,<TIME>: Take <NUMBER>,490015250F,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61295, 'lng': -0.27507, 'timezone': 'Europe/London'}",-1478297511,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",ARRIVA LONDON NORTH LIM,ARRIVA LONDON NORTH LIM,"[{'encodedWaypoints': '}s_zHfvt@dIhS??nGxJ??~CtS??bExX??zDrp@??^j\\??q\\hZ??iS~K??{LnR??|Dzb@??tGtm@??pD|W??fGta@??bFhN??fJl[??vXzC??hOmH??`RiE??xRcK??rQ_C', 'travelled': True}, {'encodedWaypoints': 's|{yHrn`AtIgF??xVsH??pWaA??hMz@??xHvH', 'travelled': False}]",[{'provider': 'ARRIVA LONDON NORTH LIM'}],490000070C,,"{'address': 'The Wealdstone Centre', 'class': 'Location', 'lat': 51.59387, 'lng': -0.3353, 'timezone': 'Europe/London'}",252.0,,scheduled,in summary,17,Edgware,Rayners Lane
7,<TIME>: Take <NUMBER>,490013274E,"{'address': 'Edgware', 'class': 'Location', 'lat': 51.61295, 'lng': -0.27507, 'timezone': 'Europe/London'}",-1278996603,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",ARRIVA LONDON NORTH LIM,ARRIVA LONDON NORTH LIM,"[{'encodedWaypoints': '}s_zHfvt@dIhS??nGxJ??~CtS??bExX??zDrp@??^j\\??q\\hZ??iS~K??{LnR', 'travelled': True}, {'encodedWaypoints': '_o`zHto{@|Dzb@??tGtm@??pD|W??fGta@??bFhN', 'travelled': False}]",[{'provider': 'ARRIVA LONDON NORTH LIM'}],490000070C,,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61728, 'lng': -0.30987, 'timezone': 'Europe/London'}",278.0,,scheduled,in summary,17,Edgware,Rayners Lane
8,<TIME>: Wait ,,,-494043187,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61728, 'lng': -0.30987, 'timezone': 'Europe/London'}",,"{'instruction': 'Wait', 'mainValue': '<DURATION>'}",,"{'alt': 'Transfer', 'localIcon': 'transfer'}",<DURATION>,,,,,,,,,,stationary,in details,17,Edgware,Rayners Lane
9,<TIME>: Take <NUMBER>,490000189C,"{'address': 'Stanmore Broadway', 'class': 'Location', 'lat': 51.61728, 'lng': -0.30987, 'timezone': 'Europe/London'}",-1845901481,,,"{'description': '<DIRECTION>', 'instruction': 'Take <NUMBER> ⋅ <PLATFORM>'}",pt_pub,"{'alt': 'Bus', 'color': {'blue': 104, 'green': 197, 'red': 45}, 'identifier': 'pt_pub_bus', 'localIcon': 'bus'}","<LINE_NAME>
<DIRECTION>
<PLATFORM>
<DURATION> ⋅ <STOPS>",LONDON SOVEREIGN LIMITED,LONDON SOVEREIGN LIMITED,"[{'encodedWaypoints': '}|`zH`kz@|Lrc@', 'travelled': False}, {'encodedWaypoints': '_o`zHto{@|Dzb@??tGtm@??pD|W??fGta@??bFhN??fJl[??bUhB??~KxB??h@x]??r@vc@??Lx`@??gLpK??}NvJ??cApQ??Ljg@??jGl_@??nGnN??jNzb@??rIt\\??nJnO??dKhA??zHwW??nL}\\??xS{L??pDx@??~HhJ??lK{B??hUG??nLq@??zOO??hDsU??Uok@??~F{C??vHxD', 'travelled': True}, {'encodedWaypoints': 'wbxyHzmgA~JeD??lFi[??rVwN??zN{K??hB_j@', 'travelled': False}]",[{'provider': 'LONDON SOVEREIGN LIMITED'}],490013274E,,"{'address': 'Rayners Lane Station', 'class': 'Location', 'lat': 51.57437, 'lng': -0.37101, 'timezone': 'Europe/London'}",234.0,,scheduled,in summary,17,Edgware,Rayners Lane
