origin,destination,early,morning,midday,afternoon,evening,night,total
Acton Town,Alperton,0,44,0,93,0,0,137
Acton Town,Amersham,0,0,0,20,0,0,20
Acton Town,Angel,1,13,5,0,3,0,22
Acton Town,Archway,0,0,0,0,0,4,4
Acton Town,Arsenal,0,0,12,17,0,0,29
Acton Town,Baker Street,0,15,0,0,0,0,15
Acton Town,Bank / Monument,106,111,5,0,0,0,222
Acton Town,Barbican,0,9,0,0,0,0,9
Acton Town,Barons Court,5,25,22,0,0,0,52
Acton Town,Bayswater,0,0,0,11,0,0,11
Acton Town,Bermondsey,0,0,0,6,0,0,6
Acton Town,Blackfriars,13,43,12,0,0,0,67
Acton Town,Blackhorse Road,0,0,0,0,20,0,20
Acton Town,Bond Street,0,0,31,0,0,0,31
Acton Town,Boston Manor,0,38,0,34,0,0,72
Acton Town,Bounds Green,0,0,17,0,0,0,17
Acton Town,Brixton,4,11,12,20,0,5,52
Acton Town,Caledonian Road,1,12,0,0,0,0,13
Acton Town,Camden Town,0,0,0,5,0,0,5
Acton Town,Canada Water,0,0,39,0,0,0,39
Acton Town,Canary Wharf,17,49,24,0,0,0,90
Acton Town,Canning Town,0,53,0,0,0,0,53
Acton Town,Cannon Street,0,18,14,0,0,0,31
Acton Town,Chancery Lane,0,49,0,0,0,0,49
Acton Town,Charing Cross,0,5,8,0,1,0,14
Acton Town,Chiswick Park,0,0,40,0,0,0,40
Acton Town,Clapham Common,0,0,3,0,0,0,3
Acton Town,Cockfosters,0,0,0,59,0,0,59
Acton Town,Covent Garden,0,45,30,42,0,0,117
Acton Town,Ealing Broadway,5,24,290,24,0,0,344
Acton Town,Ealing Common,0,14,0,15,0,0,29
Acton Town,Earl's Court,30,134,81,0,36,16,297
Acton Town,East Finchley,0,0,0,0,6,0,6
Acton Town,East Putney,0,0,0,5,0,0,5
Acton Town,Edgware,0,3,0,0,0,0,3
Acton Town,Embankment,0,0,0,16,0,0,16
Acton Town,Epping,0,0,11,0,0,0,11
Acton Town,Euston,0,11,0,0,33,0,44
Acton Town,Farringdon,61,36,0,50,0,0,147
Acton Town,Finsbury Park,0,11,0,0,0,0,11
Acton Town,Fulham Broadway,0,41,0,0,0,0,41
Acton Town,Gants Hill,0,0,1,0,0,0,1
Acton Town,Gloucester Road,0,76,30,0,0,0,106
Acton Town,Goldhawk Road,0,0,0,0,13,0,13
Acton Town,Goodge Street,0,17,8,0,0,0,25
Acton Town,Grange Hill,0,0,1,0,0,0,1
Acton Town,Great Portland Street,0,6,0,0,1,0,7
Acton Town,Green Park,0,93,56,34,0,0,182
Acton Town,Greenford,0,0,8,0,0,0,8
Acton Town,Hammersmith 1,56,399,229,146,28,37,896
Acton Town,Harrow-on-the-Hill,0,0,11,0,0,0,11
Acton Town,Hatton Cross,0,7,19,0,89,0,115
Acton Town,Heathrow Terminal 4,0,0,6,99,0,0,105
Acton Town,Heathrow Terminal 5,0,0,122,0,0,0,122
Acton Town,Heathrow Terminals 123,0,0,35,0,0,0,35
Acton Town,Hendon Central,0,6,0,0,0,0,6
Acton Town,High Street Kensington,0,0,15,0,3,0,18
Acton Town,Highbury & Islington,0,0,30,0,0,0,30
Acton Town,Holborn,16,92,26,19,0,0,154
Acton Town,Hounslow Central,0,67,34,165,0,0,265
Acton Town,Hounslow East,0,17,0,14,0,0,31
Acton Town,Hounslow West,0,40,98,0,0,0,138
Acton Town,Hyde Park Corner,0,71,0,0,0,0,71
Acton Town,Ickenham,0,0,7,0,0,0,7
Acton Town,Kennington,0,3,0,3,0,0,5
Acton Town,King's Cross St. Pancras,0,73,142,109,0,0,323
Acton Town,Knightsbridge,19,36,95,0,0,0,150
Acton Town,Leicester Square,0,54,65,50,55,12,236
Acton Town,Leyton,0,0,4,0,0,0,4
Acton Town,Liverpool Street,8,90,0,103,0,0,201
Acton Town,London Bridge,16,47,24,24,7,0,118
Acton Town,Mansion House,7,38,0,3,1,0,49
Acton Town,Marble Arch,0,0,6,0,0,0,6
Acton Town,Moorgate,0,16,0,117,0,0,132
Acton Town,Mornington Crescent,0,6,0,0,0,0,7
Acton Town,North Acton,0,0,0,5,0,0,5
Acton Town,North Ealing,0,0,0,0,45,0,45
Acton Town,North Greenwich,6,8,0,0,0,0,14
Acton Town,Northfields,72,196,9,32,0,0,309
Acton Town,Northwood,0,0,2,0,0,0,2
Acton Town,Osterley,0,0,0,0,0,0,0
Acton Town,Oxford Circus,12,48,15,0,0,0,76
Acton Town,Paddington,4,19,20,0,0,0,43
Acton Town,Park Royal,0,0,5,0,37,10,52
Acton Town,Parsons Green,0,0,11,0,0,0,11
Acton Town,Piccadilly Circus,13,94,96,58,31,10,302
Acton Town,Pimlico,0,21,17,0,0,0,38
Acton Town,Ravenscourt Park,1,17,0,0,3,0,22
Acton Town,Rayners Lane,0,0,25,45,14,0,84
Acton Town,Regent's Park,0,9,0,0,0,0,9
Acton Town,Richmond,0,42,22,0,0,0,64
Acton Town,Rickmansworth,0,0,0,29,0,0,29
Acton Town,Royal Oak,0,0,30,0,0,0,30
Acton Town,Ruislip,0,0,0,58,0,0,58
Acton Town,Russell Square,3,34,39,0,8,0,85
Acton Town,Shepherd's Bush 1,0,0,6,0,0,0,6
Acton Town,Sloane Square,12,26,33,7,0,0,78
Acton Town,South Ealing,32,13,68,2,67,67,250
Acton Town,South Harrow,0,41,0,26,17,69,153
Acton Town,South Kensington,16,137,111,35,19,0,319
Acton Town,Southwark,4,23,9,0,1,1,39
Acton Town,St. James's Park,11,68,0,0,0,0,79
Acton Town,St. Paul's,0,0,0,4,0,0,4
Acton Town,Stamford Brook,0,0,8,0,22,0,30
Acton Town,Stepney Green,0,0,0,0,0,0,0
Acton Town,Stockwell,0,4,0,12,3,0,19
Acton Town,Sudbury Hill,0,28,145,165,1,0,339
Acton Town,Swiss Cottage,0,5,0,0,0,0,5
Acton Town,Temple,0,12,6,0,0,0,19
Acton Town,Theydon Bois,0,4,14,0,0,0,18
Acton Town,Tooting Broadway,0,0,6,15,6,4,32
Acton Town,Tottenham Court Road,4,21,9,0,0,0,35
Acton Town,Tottenham Hale,0,0,0,34,0,0,34
Acton Town,Tower Hill,6,29,0,0,0,0,35
Acton Town,Turnham Green,5,47,0,0,3,0,55
Acton Town,Uxbridge,0,0,25,56,62,0,143
Acton Town,Victoria,5,18,18,19,19,5,84
Acton Town,Walthamstow Central,0,0,32,30,0,0,62
Acton Town,Warren Street,0,0,0,0,1,0,1
Acton Town,Warwick Avenue,0,0,2,0,0,0,2
Acton Town,Waterloo,0,0,32,0,0,0,32
Acton Town,West Brompton,0,15,0,0,3,5,22
Acton Town,West Kensington,0,74,0,0,0,0,74
Acton Town,Westbourne Park,0,0,0,23,0,0,23
Acton Town,Westminster,8,24,36,0,0,0,68
Acton Town,Whitechapel,0,0,15,0,0,0,15
Acton Town,Willesden Green,0,0,0,4,0,0,4
Acton Town,Wimbledon,0,11,94,68,0,0,172
Acton Town,Wimbledon Park,13,79,0,0,0,0,92
Acton Town,Wood Green,13,15,0,0,0,0,28
Acton Town,Wood Lane,0,36,0,0,0,0,36
Aldgate,Acton Town,0,0,0,2,0,0,2
Aldgate,Amersham,0,0,0,2,1,22,24
Aldgate,Angel,0,14,16,30,8,0,68
Aldgate,Archway,0,0,0,4,0,0,4
Aldgate,Arnos Grove,0,0,0,14,0,0,14
Aldgate,Arsenal,0,0,19,0,0,0,19
Aldgate,Baker Street,14,124,64,134,38,12,387
Aldgate,Balham,0,0,0,0,10,21,31
Aldgate,Bank / Monument,0,0,24,7,0,0,31
Aldgate,Barbican,11,149,92,56,24,0,332
Aldgate,Bayswater,0,0,0,9,4,0,13
Aldgate,Belsize Park,0,0,0,7,0,0,7
Aldgate,Bethnal Green,0,2,0,4,0,0,6
Aldgate,Blackfriars,0,0,23,39,0,0,63
Aldgate,Blackhorse Road,0,0,0,41,0,0,41
Aldgate,Bond Street,0,8,29,23,0,0,61
Aldgate,Bounds Green,0,0,0,0,0,0,0
Aldgate,Brixton,0,0,5,0,9,0,14
Aldgate,Burnt Oak,0,0,0,72,0,0,72
Aldgate,Caledonian Road,0,5,0,0,10,0,14
Aldgate,Camden Town,0,0,0,26,0,0,26
Aldgate,Cannon Street,0,0,28,62,0,0,90
Aldgate,Canons Park,0,0,0,19,0,0,19
Aldgate,Chalfont & Latimer,0,8,14,41,0,0,63
Aldgate,Chalk Farm,0,0,0,20,0,0,20
Aldgate,Chancery Lane,0,0,22,0,0,0,22
Aldgate,Charing Cross,0,0,3,0,0,0,3
Aldgate,Chesham,0,0,0,132,3,0,135
Aldgate,Chorleywood,0,0,0,5,0,0,5
Aldgate,Clapham Common,0,0,0,40,3,0,43
Aldgate,Cockfosters,0,0,0,7,0,0,7
Aldgate,Colindale,0,0,0,8,0,0,8
Aldgate,Colliers Wood,0,0,0,90,0,2,92
Aldgate,Covent Garden,0,2,0,0,0,0,2
Aldgate,Croxley,0,1,0,6,5,0,13
Aldgate,Dollis Hill,0,0,50,53,0,0,104
Aldgate,Ealing Broadway,0,0,0,119,0,0,119
Aldgate,Earl's Court,0,0,0,5,0,0,5
Aldgate,East Finchley,0,2,19,63,29,0,113
Aldgate,Eastcote,0,0,21,12,17,21,71
Aldgate,Edgware,0,0,0,4,0,0,4
Aldgate,Edgware Road (Cir),0,38,21,64,0,0,123
Aldgate,Elephant & Castle,0,0,0,3,0,0,3
Aldgate,Embankment,0,0,50,0,18,0,68
Aldgate,Epping,0,0,0,27,0,0,27
Aldgate,Euston,0,0,0,23,0,0,23
Aldgate,Euston Square,21,253,221,340,57,0,892
Aldgate,Farringdon,55,582,213,1001,89,87,2028
Aldgate,Finchley Central,0,0,0,3,0,0,3
Aldgate,Finchley Road,0,14,20,113,34,9,191
Aldgate,Finsbury Park,0,0,41,28,43,2,115
Aldgate,Gants Hill,0,0,0,25,0,0,25
Aldgate,Gloucester Road,0,0,0,0,0,2,2
Aldgate,Golders Green,0,0,0,13,29,0,42
Aldgate,Great Portland Street,28,197,24,65,24,0,337
Aldgate,Green Park,0,0,0,13,0,0,13
Aldgate,Hammersmith 1,0,0,0,4,1,0,4
Aldgate,Hampstead,0,0,0,0,3,0,3
Aldgate,Harrow & Wealdstone,0,16,1,15,0,0,31
Aldgate,Harrow-on-the-Hill,0,14,43,168,54,0,280
Aldgate,Hendon Central,0,0,0,0,4,0,4
Aldgate,High Barnet,0,0,0,42,0,0,42
Aldgate,High Street Kensington,0,0,15,0,0,0,15
Aldgate,Highbury & Islington,0,0,0,11,0,1,13
Aldgate,Highgate,0,0,4,8,0,0,13
Aldgate,Hillingdon,0,0,0,28,0,0,28
Aldgate,Holland Park,0,0,0,3,0,0,3
Aldgate,Holloway Road,0,5,7,61,12,15,101
Aldgate,Ickenham,0,0,0,38,0,0,38
Aldgate,Kennington,0,0,0,3,0,0,3
Aldgate,Kensal Green,0,0,0,0,1,0,1
Aldgate,Kentish Town,0,0,0,10,0,0,10
Aldgate,Kilburn,0,0,0,108,21,23,153
Aldgate,Kilburn Park,0,0,0,32,0,0,32
Aldgate,King's Cross St. Pancras,88,481,562,541,265,47,1984
Aldgate,Kingsbury,0,0,16,12,1,0,29
Aldgate,Lancaster Gate,0,0,18,0,0,0,18
Aldgate,Leicester Square,0,0,0,15,0,0,15
Aldgate,Leyton,0,0,22,0,0,0,22
Aldgate,Leytonstone,0,0,1,0,0,0,1
Aldgate,Liverpool Street,0,246,201,523,67,11,1048
Aldgate,London Bridge,0,0,17,0,0,0,17
Aldgate,Maida Vale,0,3,0,0,16,0,20
Aldgate,Manor House,3,7,0,77,0,0,87
Aldgate,Mansion House,0,0,24,0,0,0,24
Aldgate,Marble Arch,0,0,0,0,0,0,0
Aldgate,Marylebone,0,3,0,30,0,0,33
Aldgate,Mill Hill East,0,5,0,3,0,0,8
Aldgate,Moor Park,0,0,0,37,0,0,38
Aldgate,Moorgate,0,200,434,204,0,0,838
Aldgate,Morden,0,0,0,0,32,0,32
Aldgate,Neasden,0,13,0,0,0,0,13
Aldgate,North Greenwich,0,0,0,5,0,0,5
Aldgate,North Harrow,4,13,14,54,3,24,111
Aldgate,Northfields,0,0,0,35,0,0,35
Aldgate,Northolt,0,0,0,41,0,0,41
Aldgate,Northwick Park,0,2,10,54,32,0,98
Aldgate,Northwood,0,0,25,171,1,1,197
Aldgate,Northwood Hills,0,0,0,14,51,0,64
Aldgate,Notting Hill Gate,0,0,0,21,8,0,28
Aldgate,Oakwood,0,0,0,8,33,3,45
Aldgate,Old Street,0,0,0,7,0,0,7
Aldgate,Oxford Circus,0,31,51,44,0,0,127
Aldgate,Paddington,19,92,114,185,60,12,482
Aldgate,Parsons Green,0,0,2,0,0,2,4
Aldgate,Pimlico,0,0,12,0,0,0,12
Aldgate,Pinner,0,0,0,106,53,3,162
Aldgate,Preston Road,0,12,15,59,0,0,86
Aldgate,Queen's Park,0,0,0,0,8,0,8
Aldgate,Queensbury,0,0,15,130,72,21,238
Aldgate,Rayners Lane,1,6,10,73,0,0,89
Aldgate,Redbridge,0,2,0,0,0,0,2
Aldgate,Rickmansworth,0,0,0,60,0,0,60
Aldgate,Royal Oak,0,0,0,89,0,12,102
Aldgate,Ruislip,0,0,37,23,0,0,60
Aldgate,Ruislip Manor,0,0,0,103,27,0,131
Aldgate,Russell Square,0,6,14,0,0,0,21
Aldgate,Seven Sisters,0,0,48,75,0,0,123
Aldgate,Shepherd's Bush 1,0,0,0,23,0,0,23
Aldgate,Sloane Square,0,10,23,0,0,0,34
Aldgate,South Harrow,0,0,0,13,0,0,13
Aldgate,South Kensington,0,18,0,0,0,0,18
Aldgate,Southgate,0,0,0,7,24,0,32
Aldgate,St. James's Park,0,16,0,0,0,0,16
Aldgate,St. John's Wood,0,0,0,35,19,0,55
Aldgate,St. Paul's,0,0,1,0,0,0,1
Aldgate,Stanmore,0,6,0,103,0,0,110
Aldgate,Stockwell,0,0,2,0,0,0,2
Aldgate,Stonebridge Park,0,0,3,0,0,0,3
Aldgate,Stratford,0,0,61,0,33,0,94
Aldgate,Swiss Cottage,0,0,0,0,3,0,3
Aldgate,Temple,0,14,34,0,0,0,49
Aldgate,Tooting Broadway,0,0,0,5,0,0,5
Aldgate,Tottenham Court Road,0,0,0,42,0,0,42
Aldgate,Totteridge & Whetstone,0,0,0,2,0,0,2
Aldgate,Tower Hill,0,4,19,18,0,0,41
Aldgate,Tufnell Park,0,0,0,13,0,0,13
Aldgate,Turnpike Lane,0,6,21,50,0,25,102
Aldgate,Uxbridge,0,0,0,38,0,0,38
Aldgate,Victoria,0,14,21,29,10,0,75
Aldgate,Wanstead,0,0,0,0,18,0,18
Aldgate,Waterloo,0,5,0,42,0,0,47
Aldgate,Watford,0,0,1,2,0,0,3
Aldgate,Wembley Park,4,28,48,153,71,35,338
Aldgate,West Hampstead,0,0,0,49,25,0,75
Aldgate,West Harrow,0,0,0,47,68,46,161
Aldgate,Westbourne Park,0,0,45,0,19,3,67
Aldgate,Westminster,0,15,19,0,0,0,34
Aldgate,Willesden Green,0,0,1,22,21,0,44
Aldgate,Wimbledon,0,0,3,0,0,0,3
Aldgate,Wood Green,0,0,16,33,0,0,49
Aldgate,Woodford,0,0,1,0,0,0,1
Aldgate,Woodside Park,0,0,0,1,0,0,1
Aldgate East,Acton Town,0,0,0,23,0,0,23
Aldgate East,Angel,0,39,14,87,0,0,140
Aldgate East,Archway,0,0,0,5,3,0,7
Aldgate East,Arnos Grove,0,0,0,0,0,53,53
Aldgate East,Baker Street,12,6,102,0,103,0,223
Aldgate East,Balham,0,0,0,2,180,18,200
Aldgate East,Bank / Monument,0,71,11,398,0,0,480
Aldgate East,Barbican,9,88,67,203,0,0,368
Aldgate East,Barking,0,0,9,22,4,0,35
Aldgate East,Barkingside,0,0,0,18,0,0,18
Aldgate East,Barons Court,0,0,0,29,0,0,29
Aldgate East,Becontree,0,0,0,50,38,0,88
Aldgate East,Belsize Park,0,0,0,0,86,0,86
Aldgate East,Bethnal Green,0,0,35,19,0,0,54
Aldgate East,Blackfriars,0,221,23,1,136,55,436
Aldgate East,Bond Street,0,0,25,109,0,0,134
Aldgate East,Borough,0,21,0,0,0,0,21
Aldgate East,Bounds Green,0,0,0,0,108,0,108
Aldgate East,Bow Road,0,11,178,0,15,0,204
Aldgate East,Bromley-by-Bow,0,0,16,1,0,0,17
Aldgate East,Burnt Oak,0,0,27,0,0,0,27
Aldgate East,Caledonian Road,0,19,0,0,0,0,19
Aldgate East,Camden Town,0,0,113,63,27,26,228
Aldgate East,Canada Water,0,0,69,127,188,66,450
Aldgate East,Canning Town,0,0,0,95,0,0,95
Aldgate East,Cannon Street,18,80,329,235,0,0,661
Aldgate East,Charing Cross,0,0,54,0,0,0,54
Aldgate East,Chiswick Park,7,55,0,0,0,0,62
Aldgate East,Clapham Common,0,0,0,119,0,0,119
Aldgate East,Clapham South,0,0,18,0,0,0,18
Aldgate East,Cockfosters,0,0,19,59,0,0,79
Aldgate East,Colliers Wood,0,8,0,0,0,0,8
Aldgate East,Covent Garden,0,0,56,0,30,2,88
Aldgate East,Dagenham East,0,0,0,0,49,62,111
Aldgate East,Dagenham Heathway,0,0,54,764,46,0,864
Aldgate East,Debden,0,0,0,6,0,0,6
Aldgate East,Dollis Hill,0,0,0,1,0,0,1
Aldgate East,Ealing Broadway,0,4,0,0,169,0,173
Aldgate East,Ealing Common,0,0,0,28,0,0,28
Aldgate East,Earl's Court,0,0,0,52,0,0,52
Aldgate East,East Finchley,0,0,0,0,0,0,0
Aldgate East,East Ham,0,48,112,434,64,41,700
Aldgate East,East Putney,0,0,0,2,0,0,2
Aldgate East,Edgware Road (Cir),0,29,24,26,0,35,113
Aldgate East,Elephant & Castle,0,0,87,43,36,51,217
Aldgate East,Elm Park,0,0,90,710,138,5,944
Aldgate East,Embankment,2,128,311,10,125,54,630
Aldgate East,Epping,0,0,0,16,0,0,16
Aldgate East,Euston,0,0,0,18,57,19,94
Aldgate East,Euston Square,0,70,171,2,0,18,261
Aldgate East,Farringdon,51,108,133,31,101,3,426
Aldgate East,Finchley Road,0,0,0,8,0,0,8
Aldgate East,Finsbury Park,0,0,0,17,34,0,51
Aldgate East,Fulham Broadway,0,0,76,0,0,0,76
Aldgate East,Gloucester Road,0,84,90,0,45,15,234
Aldgate East,Goodge Street,0,0,35,0,0,0,35
Aldgate East,Great Portland Street,0,44,0,0,0,0,44
Aldgate East,Green Park,9,66,41,0,0,0,116
Aldgate East,Hainault,0,0,0,31,0,0,31
Aldgate East,Hammersmith 1,0,32,6,7,0,0,46
Aldgate East,Hammersmith 2,22,5,0,0,0,0,27
Aldgate East,Hanger Lane,0,0,0,105,0,0,105
Aldgate East,Heathrow Terminal 4,0,0,59,0,0,0,59
Aldgate East,Highbury & Islington,0,0,32,0,7,14,54
Aldgate East,Highgate,0,0,0,8,3,0,11
Aldgate East,Holborn,0,0,22,25,27,11,84
Aldgate East,Holland Park,0,0,0,0,0,1,1
Aldgate East,Holloway Road,0,0,32,34,0,0,66
Aldgate East,Hounslow East,0,0,0,88,0,0,88
Aldgate East,Kentish Town,2,4,0,0,0,0,6
Aldgate East,Kew Gardens,0,0,0,28,0,0,28
Aldgate East,Kilburn,0,0,0,0,50,31,81
Aldgate East,King's Cross St. Pancras,56,56,871,140,171,413,1706
Aldgate East,Knightsbridge,0,0,3,47,0,0,50
Aldgate East,Ladbroke Grove,0,0,36,0,0,0,36
Aldgate East,Lambeth North,0,0,0,28,0,0,28
Aldgate East,Latimer Road,3,4,0,0,0,0,8
Aldgate East,Leicester Square,0,0,0,109,0,0,109
Aldgate East,Leyton,0,0,0,207,33,4,243
Aldgate East,Leytonstone,0,0,0,139,29,4,172
Aldgate East,Liverpool Street,1,109,78,71,2,16,276
Aldgate East,London Bridge,15,3,34,39,28,3,121
Aldgate East,Maida Vale,0,0,0,0,29,9,38
Aldgate East,Mansion House,0,60,164,0,0,0,224
Aldgate East,Marble Arch,0,0,0,66,0,0,66
Aldgate East,Marylebone,0,0,0,2,0,0,2
Aldgate East,Mile End,0,10,5,0,12,5,32
Aldgate East,Moorgate,18,67,340,0,152,57,634
Aldgate East,Morden,0,0,1,2,64,96,164
Aldgate East,North Greenwich,2,22,106,79,0,0,209
Aldgate East,Notting Hill Gate,0,9,0,0,0,0,9
Aldgate East,Oakwood,0,0,80,0,0,0,80
Aldgate East,Oval,0,0,0,0,21,11,32
Aldgate East,Oxford Circus,9,93,85,195,0,0,381
Aldgate East,Paddington,33,16,204,788,73,0,1115
Aldgate East,Parsons Green,0,48,0,0,86,0,134
Aldgate East,Piccadilly Circus,0,55,93,5,0,0,152
Aldgate East,Plaistow,0,0,38,40,0,0,78
Aldgate East,Putney Bridge,0,66,0,0,0,0,66
Aldgate East,Queen's Park,0,0,0,7,0,0,7
Aldgate East,Queensbury,0,0,17,23,0,0,40
Aldgate East,Richmond,0,0,0,30,0,0,30
Aldgate East,Royal Oak,0,0,0,2,0,0,2
Aldgate East,Seven Sisters,0,0,0,0,92,32,124
Aldgate East,Shepherd's Bush 1,0,4,0,0,99,6,109
Aldgate East,Sloane Square,0,26,203,30,0,0,259
Aldgate East,Snaresbrook,0,0,47,0,0,0,47
Aldgate East,South Ealing,0,0,0,0,63,24,87
Aldgate East,South Kensington,0,94,64,1,15,0,173
Aldgate East,South Woodford,0,0,1,46,0,0,47
Aldgate East,Southgate,0,0,0,21,0,0,21
Aldgate East,St. James's Park,4,186,65,76,0,0,331
Aldgate East,Stamford Brook,0,0,0,18,0,0,18
Aldgate East,Stepney Green,0,10,64,0,19,0,93
Aldgate East,Stonebridge Park,0,0,0,1,0,0,1
Aldgate East,Stratford,0,12,82,80,56,0,231
Aldgate East,Sudbury Town,0,0,0,18,0,0,18
Aldgate East,Temple,9,165,79,33,0,0,286
Aldgate East,Tooting Bec,0,0,0,34,0,0,34
Aldgate East,Tooting Broadway,0,0,40,51,0,0,91
Aldgate East,Tottenham Court Road,0,135,151,7,0,0,293
Aldgate East,Totteridge & Whetstone,0,0,10,0,0,0,10
Aldgate East,Tower Hill,0,0,64,122,10,5,203
Aldgate East,Tufnell Park,0,0,27,0,0,0,27
Aldgate East,Turnham Green,0,0,31,0,0,0,31
Aldgate East,Turnpike Lane,0,0,0,20,0,0,20
Aldgate East,Upminster,0,0,0,0,28,11,40
Aldgate East,Upton Park,0,0,16,7,0,0,23
Aldgate East,Vauxhall,0,41,0,43,0,0,84
Aldgate East,Victoria,1,2,133,39,1,19,195
Aldgate East,Wanstead,0,0,0,22,0,0,22
Aldgate East,Waterloo,0,57,188,535,0,0,780
Aldgate East,Wembley Park,0,5,0,0,0,0,5
Aldgate East,West Ham,5,164,0,168,16,0,353
Aldgate East,West Hampstead,0,0,64,0,0,0,64
Aldgate East,West Kensington,0,38,0,0,0,0,38
Aldgate East,Westbourne Park,0,0,0,5,50,0,55
Aldgate East,Westminster,0,258,72,41,46,0,416
Aldgate East,White City,2,12,0,0,0,0,14
Aldgate East,Whitechapel,0,144,194,450,9,3,801
Aldgate East,Wimbledon,0,0,5,0,0,0,5
Aldgate East,Wood Lane,0,0,0,55,0,0,55
Aldgate East,Woodford,0,0,0,0,23,12,35
Alperton,Acton Town,39,43,128,118,0,0,328
Alperton,Amersham,0,0,0,0,0,0,0
Alperton,Arsenal,0,0,8,0,0,0,8
Alperton,Baker Street,1,2,0,0,0,0,2
Alperton,Bank / Monument,45,54,0,0,0,0,99
Alperton,Barons Court,3,52,1,47,0,0,104
Alperton,Blackfriars,0,1,0,0,0,0,1
Alperton,Camden Town,0,0,1,0,0,0,1
Alperton,Cannon Street,3,7,0,0,0,0,10
Alperton,Chancery Lane,0,1,0,0,0,0,1
Alperton,Charing Cross,0,0,5,0,0,0,5
Alperton,Chiswick Park,0,3,0,10,2,26,41
Alperton,Covent Garden,0,50,0,0,0,0,50
Alperton,Croxley,0,15,0,0,0,0,15
Alperton,Ealing Broadway,0,1,13,0,0,0,13
Alperton,Ealing Common,34,76,41,0,0,0,151
Alperton,Earl's Court,72,88,38,0,0,0,198
Alperton,East Acton,2,3,0,0,0,0,5
Alperton,Eastcote,0,0,36,59,0,0,95
Alperton,Elephant & Castle,8,17,3,0,0,0,27
Alperton,Embankment,0,2,0,0,0,0,2
Alperton,Finchley Road,0,0,5,0,0,0,5
Alperton,Fulham Broadway,4,108,0,0,0,0,112
Alperton,Gloucester Road,0,13,36,1,6,3,58
Alperton,Green Park,0,0,7,0,0,0,7
Alperton,Hammersmith 1,131,243,10,74,9,34,501
Alperton,Harrow-on-the-Hill,0,15,0,0,0,0,15
Alperton,Hatton Cross,0,21,0,99,0,0,121
Alperton,Heathrow Terminal 4,0,0,16,0,0,0,16
Alperton,Heathrow Terminals 123,3,5,3,0,0,0,10
Alperton,Hillingdon,0,12,57,0,0,0,69
Alperton,Holborn,2,43,1,8,0,0,55
Alperton,Holloway Road,0,6,0,0,0,0,6
Alperton,Hounslow Central,0,51,56,7,15,3,132
Alperton,Hounslow East,39,47,121,0,0,0,207
Alperton,Hounslow West,0,0,1,0,8,9,19
Alperton,Hyde Park Corner,0,23,0,0,0,0,23
Alperton,Ickenham,0,0,0,0,0,0,0
Alperton,Kew Gardens,0,1,0,0,0,0,2
Alperton,King's Cross St. Pancras,17,0,7,0,0,0,25
Alperton,Knightsbridge,0,23,55,0,0,0,77
Alperton,Leicester Square,12,6,19,9,0,0,45
Alperton,Liverpool Street,0,19,0,0,0,0,19
Alperton,North Ealing,0,25,5,6,11,25,72
Alperton,Northfields,0,9,0,0,0,0,9
Alperton,Old Street,0,4,0,0,0,0,4
Alperton,Osterley,0,6,0,18,0,0,24
Alperton,Oxford Circus,0,3,0,0,0,0,3
Alperton,Park Royal,0,53,84,0,0,0,138
Alperton,Piccadilly Circus,0,8,1,0,0,0,9
Alperton,Pimlico,0,0,0,0,0,0,0
Alperton,Pinner,0,0,0,14,0,0,14
Alperton,Putney Bridge,0,0,0,2,0,0,2
Alperton,Rayners Lane,0,0,27,74,0,0,100
Alperton,Regent's Park,0,0,3,0,0,0,3
Alperton,Richmond,60,49,0,6,0,0,114
Alperton,Ruislip,0,0,0,0,0,0,0
Alperton,Ruislip Manor,0,15,30,0,13,0,58
Alperton,Russell Square,0,9,0,0,0,0,9
Alperton,Shepherd's Bush 1,17,10,0,0,0,0,26
Alperton,South Ealing,0,0,0,0,1,0,1
Alperton,South Harrow,0,26,86,101,80,0,294
Alperton,South Kensington,0,44,0,0,0,0,44
Alperton,Southfields,0,0,43,0,0,0,43
Alperton,St. James's Park,16,24,0,0,0,0,40
Alperton,St. Paul's,0,4,0,0,0,0,4
Alperton,Stratford,0,0,0,39,0,0,39
Alperton,Sudbury Hill,0,0,15,19,120,0,155
Alperton,Temple,3,6,5,0,0,0,14
Alperton,Tooting Bec,0,0,0,2,0,0,2
Alperton,Tottenham Court Road,0,4,0,0,0,0,4
Alperton,Tower Hill,0,0,0,0,0,0,0
Alperton,Turnham Green,20,22,0,0,0,0,42
Alperton,Uxbridge,0,157,22,0,44,0,224
Alperton,Vauxhall,0,0,0,20,0,0,20
Alperton,Victoria,8,5,0,27,1,4,45
Alperton,Warren Street,0,10,7,0,0,0,18
Alperton,Waterloo,0,1,0,0,0,0,1
Alperton,Wembley Central,0,0,18,0,0,0,18
Alperton,Wembley Park,0,12,0,0,0,0,12
Alperton,West Harrow,0,0,0,49,0,0,49
Alperton,West Kensington,0,26,0,0,0,0,26
Alperton,Westminster,0,28,27,0,0,0,55
Alperton,Wimbledon,20,5,31,22,2,0,80
Alperton,Wood Green,0,3,0,0,0,0,3
Amersham,Aldgate,19,30,20,0,0,0,69
Amersham,Alperton,36,52,0,0,0,0,88
Amersham,Angel,0,14,0,0,0,0,14
Amersham,Baker Street,2,62,27,0,0,0,90
